,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Emmanuel Gyasi,Spezia,Serie A,38,15.82,8.9,9.1,15.4,13.1,32.6
1,Isaac Success,Udinese,Serie A,37,18.22,22.7,13.1,3.1,17.3,34.9
2,Andrea Petagna,Monza,Serie A,36,19.4,48.8,12.2,27.8,7.1,1.1
3,Federico Di Francesco,Lecce,Serie A,35,21.92,10.8,7.8,17.3,17.0,56.7
4,David Okereke,Cremonese,Serie A,34,22.4,16.5,10.2,36.0,15.8,33.5
5,Luca Zanimacchia,Cremonese,Serie A,33,25.54,29.2,19.5,13.8,25.9,39.3
6,Musa Barrow,Bologna,Serie A,32,27.340000000000003,23.7,26.7,10.2,45.8,30.3
7,Junior Messias,Milan,Serie A,31,27.7,25.5,21.2,36.7,21.1,34.0
8,Andrea Pinamonti,Sassuolo,Serie A,30,28.459999999999997,45.1,27.5,17.4,30.4,21.9
9,Sam Lammers,Empoli,Serie A,29,29.480000000000004,35.2,45.2,26.1,35.6,5.3
10,MBala Nzola,Spezia,Serie A,28,32.260000000000005,37.7,29.4,53.4,20.8,20.0
11,Kevin Lasagna,Verona,Serie A,27,33.66,23.8,47.3,22.9,44.9,29.4
12,Francesco Caputo,Sampdoria,Serie A,26,33.74,60.1,32.9,35.9,20.8,19.0
13,Federico Bonazzoli,Salernitana,Serie A,25,34.120000000000005,40.6,42.6,18.2,31.4,37.8
14,Assan Ceesay,Lecce,Serie A,24,34.82,19.6,31.6,41.6,44.9,36.4
15,Domenico Berardi,Sassuolo,Serie A,23,35.38,35.4,13.7,14.1,24.2,89.5
16,Cyriel Dessers,Cremonese,Serie A,22,38.1,46.9,40.3,28.9,31.6,42.8
17,Luka Jovic,Fiorentina,Serie A,21,38.92,42.4,19.6,75.7,9.5,47.4
18,Gianluca Caprari,Monza,Serie A,20,40.10000000000001,18.9,28.8,29.8,49.7,73.3
19,Thomas Henry,Verona,Serie A,19,42.059999999999995,55.4,38.4,65.8,20.9,29.8
20,Riccardo Sottil,Fiorentina,Serie A,18,42.06,14.8,18.4,35.3,51.4,90.4
21,Antonio Sanabria,Torino,Serie A,17,44.64,73.1,48.1,56.4,33.4,12.2
22,Christian Kouamé,Fiorentina,Serie A,16,46.94,24.1,49.5,42.5,62.9,55.7
23,Martín Satriano,Empoli,Serie A,15,52.160000000000004,49.9,61.4,66.5,48.6,34.4
24,Dusan Vlahovic,Juventus,Serie A,14,55.66000000000001,44.1,57.2,88.1,44.0,44.9
25,Hirving Lozano,Napoli,Serie A,13,62.260000000000005,32.5,69.8,19.8,98.5,90.7
26,Marko Arnautovic,Bologna,Serie A,12,62.38,86.3,81.9,67.8,53.2,22.7
27,Boulaye Dia,Salernitana,Serie A,11,63.76,35.4,52.5,86.4,65.2,79.3
28,Gerard Deulofeu,Udinese,Serie A,10,66.52000000000001,57.4,64.4,17.9,93.2,99.7
29,Olivier Giroud,Milan,Serie A,9,68.26,99.9,93.1,96.6,21.4,30.3
30,Victor Osimhen,Napoli,Serie A,8,69.6,99.7,99.9,35.8,92.2,20.4
31,Lautaro Martínez,Internazionale,Serie A,7,71.7,77.3,82.5,79.4,66.7,52.6
32,Rafael Leão,Milan,Serie A,6,77.66,25.7,76.0,96.6,93.8,96.2
33,Tammy Abraham,Roma,Serie A,5,82.03999999999999,96.4,97.2,89.4,84.9,42.3
34,Ciro Immobile,Lazio,Serie A,4,82.24000000000001,86.2,88.3,88.0,73.3,75.4
35,Khvicha Kvaratskhelia,Napoli,Serie A,3,82.94,78.1,75.9,85.3,81.7,93.7
36,Paulo Dybala,Roma,Serie A,2,86.66000000000001,48.0,90.6,99.4,99.6,95.7
37,Edin Dzeko,Internazionale,Serie A,1,87.4,85.7,90.7,88.2,97.0,75.4
