,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Emmanuel Gyasi,Spezia,Serie A,33,15.4,6.0,8.0,16.0,13.0,34.0
1,Andrea Petagna,Monza,Serie A,32,18.8,53.0,11.0,23.0,6.0,1.0
2,Junior Messias,Milan,Serie A,31,20.400000000000002,27.0,17.0,14.0,12.0,32.0
3,David Okereke,Cremonese,Serie A,30,23.000000000000004,10.0,9.0,44.0,19.0,33.0
4,Sam Lammers,Empoli,Serie A,29,23.2,21.0,39.0,11.0,41.0,4.0
5,Duván Zapata,Atalanta,Serie A,28,23.8,16.0,25.0,13.0,34.0,31.0
6,M'Bala Nzola,Spezia,Serie A,27,25.4,35.0,27.0,20.0,21.0,24.0
7,Luca Zanimacchia,Cremonese,Serie A,26,31.800000000000004,24.0,27.0,14.0,37.0,57.0
8,Gianluca Caprari,Monza,Serie A,25,32.2,25.0,24.0,10.0,39.0,63.0
9,Gabriel Strefezza,Lecce,Serie A,24,34.2,15.0,15.0,68.0,27.0,46.0
10,Domenico Berardi,Sassuolo,Serie A,23,36.0,36.0,13.0,15.0,24.0,92.0
11,Kevin Lasagna,Verona,Serie A,22,38.800000000000004,27.0,54.0,25.0,49.0,39.0
12,Andrea Pinamonti,Sassuolo,Serie A,21,39.0,54.0,34.0,19.0,48.0,40.0
13,Christian Kouamé,Fiorentina,Serie A,20,41.0,16.0,18.0,62.0,35.0,74.0
14,Federico Bonazzoli,Salernitana,Serie A,19,41.8,59.0,58.0,19.0,39.0,34.0
15,Luka Jovic,Fiorentina,Serie A,18,44.8,55.0,23.0,85.0,9.0,52.0
16,Francesco Caputo,Sampdoria,Serie A,17,45.0,86.0,32.0,70.0,13.0,24.0
17,Riccardo Sottil,Fiorentina,Serie A,16,46.0,17.0,24.0,40.0,54.0,95.0
18,Cyriel Dessers,Cremonese,Serie A,15,46.60000000000001,58.0,53.0,35.0,43.0,44.0
19,Thomas Henry,Verona,Serie A,14,51.00000000000001,61.0,54.0,81.0,33.0,26.0
20,Antonio Sanabria,Torino,Serie A,13,54.4,87.0,65.0,69.0,37.0,14.0
21,Marko Arnautovic,Bologna,Serie A,12,55.00000000000001,73.0,68.0,57.0,54.0,23.0
22,Hirving Lozano,Napoli,Serie A,11,56.6,34.0,66.0,20.0,96.0,67.0
23,Olivier Giroud,Milan,Serie A,10,56.800000000000004,90.0,62.0,94.0,20.0,18.0
24,Ciro Immobile,Lazio,Serie A,9,65.0,79.0,69.0,74.0,43.0,60.0
25,Gerard Deulofeu,Udinese,Serie A,8,66.0,57.0,70.0,20.0,88.0,95.0
26,Dusan Vlahovic,Juventus,Serie A,7,67.80000000000001,40.0,76.0,86.0,71.0,66.0
27,Victor Osimhen,Napoli,Serie A,6,71.2,100.0,100.0,35.0,95.0,26.0
28,Paulo Dybala,Roma,Serie A,5,76.6,31.0,81.0,98.0,98.0,75.0
29,Tammy Abraham,Roma,Serie A,4,77.6,65.0,93.0,88.0,94.0,48.0
30,Rafael Leão,Milan,Serie A,3,79.2,29.0,80.0,98.0,94.0,95.0
31,Lautaro Martínez,Internazionale,Serie A,2,87.2,95.0,95.0,94.0,81.0,71.0
32,Khvicha Kvaratskhelia,Napoli,Serie A,1,91.00000000000001,88.0,89.0,81.0,97.0,100.0
