,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Kyosuke Tagawa,Santa Clara,Primeira Liga,48,15.420000000000002,26.1,16.9,17.1,4.1,12.9
1,Fábio Ronaldo,Rio Ave,Primeira Liga,47,17.900000000000002,11.6,12.4,18.0,17.8,29.7
2,André Bukia,Arouca,Primeira Liga,46,19.2,11.1,14.4,22.3,11.4,36.8
3,Nigel Thomas,Paços de Ferreira,Primeira Liga,45,20.18,16.3,15.1,29.4,17.6,22.5
4,André Vidigal,Marítimo,Primeira Liga,44,22.28,12.8,17.6,5.2,16.1,59.7
5,Nélson da Luz,Vitória Guimarães,Primeira Liga,43,26.359999999999996,20.9,27.9,41.8,25.2,16.0
6,Allano,Santa Clara,Primeira Liga,42,27.700000000000003,31.3,20.3,16.0,24.2,46.7
7,Kévin Zohi,Vizela,Primeira Liga,41,29.340000000000003,38.1,20.1,46.6,5.7,36.2
8,Junior Kadile,FC Famalicão,Primeira Liga,40,29.720000000000002,37.2,36.5,16.6,19.2,39.1
9,Álex Millán,FC Famalicão,Primeira Liga,39,30.62,43.2,19.5,64.6,10.2,15.6
10,Pepê,FC Porto,Primeira Liga,38,30.96,20.6,15.1,15.5,30.9,72.7
11,Róbert Bozeník,Boavista,Primeira Liga,37,32.900000000000006,39.6,49.6,37.6,30.9,6.8
12,Yago Cariello,Portimonense,Primeira Liga,36,33.620000000000005,64.4,50.8,6.7,32.3,13.9
13,Ivo Rodrigues,FC Famalicão,Primeira Liga,35,34.519999999999996,25.5,15.7,14.7,24.2,92.5
14,Tiago Gouveia,Estoril Praia,Primeira Liga,34,35.54,24.3,25.8,39.2,44.1,44.3
15,Kevin Villodres,Gil Vicente,Primeira Liga,33,35.92,30.6,25.2,70.2,26.9,26.7
16,Aziz Yakubu,Rio Ave,Primeira Liga,32,37.68,70.1,53.9,28.8,22.0,13.6
17,Nuno Santos,Sporting CP,Primeira Liga,31,38.78,43.6,40.9,15.7,51.2,42.5
18,Juan Delgado,Paços de Ferreira,Primeira Liga,30,39.46,12.6,15.3,17.4,58.5,93.5
19,Rafael Martins,Casa Pia,Primeira Liga,29,40.84,63.8,54.9,52.3,20.3,12.9
20,Jota Silva,Vitória Guimarães,Primeira Liga,28,41.02,14.9,27.3,71.6,36.9,54.4
21,Batxi,Chaves,Primeira Liga,27,42.14,35.4,27.6,12.9,58.3,76.5
22,Kenji Gorré,Boavista,Primeira Liga,26,43.74,49.3,29.5,14.9,29.4,95.6
23,Héctor Hernández,Chaves,Primeira Liga,25,45.660000000000004,76.2,63.9,44.5,19.4,24.3
24,Bruno Lourenço,Boavista,Primeira Liga,24,45.82,67.1,38.6,88.9,10.7,23.8
25,Matchoi Djaló,Paços de Ferreira,Primeira Liga,23,46.56,33.5,32.0,99.3,30.7,37.3
26,Joel Tagueu,Marítimo,Primeira Liga,22,47.68,41.4,63.9,62.7,56.8,13.6
27,Kiko Bondoso,Vizela,Primeira Liga,21,50.400000000000006,29.1,33.9,59.1,69.1,60.8
28,Anderson Silva,Vitória Guimarães,Primeira Liga,20,52.32,90.2,81.3,44.9,25.7,19.5
29,Juninho,Chaves,Primeira Liga,19,52.68,30.4,37.0,20.0,83.5,92.5
30,Juan Manuel Boselli,Gil Vicente,Primeira Liga,18,54.94,35.0,62.0,35.3,85.6,56.8
31,Rafa Mújica,Arouca,Primeira Liga,17,56.5,36.1,70.2,97.3,67.2,11.7
32,Rodrigo Martins,Estoril Praia,Primeira Liga,16,56.84,13.0,58.5,30.9,94.8,87.0
33,N'Dri Koffi,Paços de Ferreira,Primeira Liga,15,58.62000000000001,83.4,63.0,77.4,22.6,46.7
34,Gabriel Silva,Santa Clara,Primeira Liga,14,58.72,47.9,46.3,38.0,61.7,99.7
35,Saviour Godwin,Casa Pia,Primeira Liga,13,61.08,30.2,45.0,83.1,67.5,79.6
36,Welinton Júnior,Portimonense,Primeira Liga,12,61.300000000000004,67.1,81.2,48.7,67.0,42.5
37,Evanilson,FC Porto,Primeira Liga,11,61.42,93.7,91.6,45.8,71.7,4.3
38,Iuri Medeiros,Sporting Braga,Primeira Liga,10,63.16,44.5,63.4,13.8,96.2,97.9
39,Trincão,Sporting CP,Primeira Liga,9,68.10000000000001,63.1,63.9,42.5,89.3,81.7
40,Simon Banza,Sporting Braga,Primeira Liga,8,72.94000000000001,85.2,87.8,89.0,77.4,25.3
41,Marcus Edwards,Sporting CP,Primeira Liga,7,73.03999999999999,58.8,61.8,72.0,85.3,87.3
42,Mehdi Taremi,FC Porto,Primeira Liga,6,73.4,44.3,60.4,96.9,81.8,83.6
43,David Neres,Benfica,Primeira Liga,5,73.52,72.3,45.2,78.6,86.8,84.7
44,Vítor Oliveira,Sporting Braga,Primeira Liga,4,74.64,82.9,90.3,97.2,84.9,17.9
45,Ricardo Horta,Sporting Braga,Primeira Liga,3,78.86,82.9,75.0,94.0,85.6,56.8
46,Fran Navarro,Gil Vicente,Primeira Liga,2,80.14000000000001,98.8,99.2,66.1,88.1,48.5
47,Gonçalo Ramos,Benfica,Primeira Liga,1,93.46000000000001,100.0,100.0,96.7,99.9,70.7
