,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Kyosuke Tagawa,Santa Clara,Primeira Liga,49,17.060000000000002,28.3,16.2,17.5,5.2,18.1
1,André Bukia,Arouca,Primeira Liga,48,17.560000000000002,11.9,14.0,16.2,12.5,33.2
2,Nigel Thomas,Paços de Ferreira,Primeira Liga,47,19.540000000000003,16.6,15.0,21.5,22.0,22.6
3,Fábio Ronaldo,Rio Ave,Primeira Liga,46,20.0,12.7,12.3,18.6,22.2,34.2
4,Kevin Villodres,Gil Vicente,Primeira Liga,45,21.08,21.0,20.2,14.6,24.3,25.3
5,André Vidigal,Marítimo,Primeira Liga,44,25.259999999999998,14.4,18.1,3.8,21.4,68.6
6,Allano,Santa Clara,Primeira Liga,43,29.240000000000002,30.0,22.2,16.2,27.4,50.4
7,Nélson da Luz,Vitória Guimarães,Primeira Liga,42,30.82,15.1,31.6,56.3,35.1,16.0
8,Pepê,FC Porto,Primeira Liga,41,31.52,18.8,15.0,15.5,30.7,77.6
9,Tiago Gouveia,Estoril Praia,Primeira Liga,40,31.560000000000006,25.3,16.6,49.6,27.8,38.5
10,Junior Kadile,FC Famalicão,Primeira Liga,39,31.68,39.0,38.4,16.9,24.5,39.6
11,Kévin Zohi,Vizela,Primeira Liga,38,31.740000000000006,40.8,19.0,56.7,6.4,35.8
12,Yago Cariello,Portimonense,Primeira Liga,37,34.1,63.9,50.5,6.1,35.4,14.6
13,Álex Millán,FC Famalicão,Primeira Liga,36,35.1,44.5,19.8,73.3,13.5,24.4
14,Ivo Rodrigues,FC Famalicão,Primeira Liga,35,35.78,26.4,15.5,14.7,29.7,92.6
15,Róbert Bozeník,Boavista,Primeira Liga,34,36.5,49.7,47.7,51.8,24.3,9.0
16,Edgar Costa,Marítimo,Primeira Liga,33,38.62,49.8,20.2,61.5,15.2,46.4
17,Nuno Santos,Sporting CP,Primeira Liga,32,39.14,48.5,47.7,15.8,44.6,39.1
18,Aziz Yakubu,Rio Ave,Primeira Liga,31,39.720000000000006,73.9,48.9,42.5,18.7,14.6
19,Matchoi Djaló,Paços de Ferreira,Primeira Liga,30,39.74,31.5,29.1,79.6,23.2,35.3
20,Héctor Hernández,Chaves,Primeira Liga,29,40.36,42.0,54.3,40.5,38.8,26.2
21,Juan Delgado,Paços de Ferreira,Primeira Liga,28,40.480000000000004,12.6,15.8,18.1,65.3,90.6
22,Batxi,Chaves,Primeira Liga,27,42.22,36.0,27.4,12.7,59.6,75.4
23,Jota Silva,Vitória Guimarães,Primeira Liga,26,42.28,16.4,28.7,81.4,41.9,43.0
24,Rafael Martins,Casa Pia,Primeira Liga,25,42.86,65.1,47.9,58.2,15.9,27.2
25,Kenji Gorré,Boavista,Primeira Liga,24,43.080000000000005,54.9,29.1,14.8,21.4,95.2
26,Kiko Bondoso,Vizela,Primeira Liga,23,46.480000000000004,19.8,21.1,72.2,60.9,58.4
27,Gabriel Silva,Santa Clara,Primeira Liga,22,47.36000000000001,39.4,30.6,18.7,48.2,99.9
28,Juan Manuel Boselli,Gil Vicente,Primeira Liga,21,50.480000000000004,37.5,52.8,41.3,69.8,51.0
29,João Carlos,Estoril Praia,Primeira Liga,20,51.199999999999996,99.3,79.3,58.3,5.5,13.6
30,Rildo,Santa Clara,Primeira Liga,19,52.660000000000004,25.4,63.5,56.2,76.3,41.9
31,Joel Tagueu,Marítimo,Primeira Liga,18,53.66,47.8,72.6,66.1,67.8,14.0
32,Rafa Mújica,Arouca,Primeira Liga,17,54.32000000000001,35.6,66.3,99.8,60.7,9.2
33,Anderson Silva,Vitória Guimarães,Primeira Liga,16,54.86,90.2,74.9,69.3,18.1,21.8
34,Rodrigo Martins,Estoril Praia,Primeira Liga,15,57.040000000000006,13.1,67.3,38.1,88.7,78.0
35,N'Dri Koffi,Paços de Ferreira,Primeira Liga,14,60.44000000000001,82.7,64.9,84.7,29.2,40.7
36,Saviour Godwin,Casa Pia,Primeira Liga,13,62.82,32.7,40.7,96.6,65.3,78.8
37,Iuri Medeiros,Sporting Braga,Primeira Liga,12,64.66,37.7,75.9,11.6,98.7,99.4
38,David Neres,Benfica,Primeira Liga,11,65.88000000000001,81.7,38.7,36.1,85.2,87.7
39,Welinton Júnior,Portimonense,Primeira Liga,10,65.96000000000001,73.4,86.9,60.3,72.3,36.9
40,Evanilson,FC Porto,Primeira Liga,9,69.32000000000001,95.9,97.0,59.4,89.0,5.3
41,Marcus Edwards,Sporting CP,Primeira Liga,8,70.30000000000001,45.1,54.5,69.2,90.3,92.4
42,Trincão,Sporting CP,Primeira Liga,7,70.68,65.3,67.3,51.4,91.8,77.6
43,Simon Banza,Sporting Braga,Primeira Liga,6,73.28,85.1,90.7,88.4,77.4,24.8
44,Vítor Oliveira,Sporting Braga,Primeira Liga,5,74.2,84.8,91.6,91.4,84.7,18.5
45,Ricardo Horta,Sporting Braga,Primeira Liga,4,77.14000000000001,71.0,79.5,93.5,93.0,48.7
46,Mehdi Taremi,FC Porto,Primeira Liga,3,77.88,45.7,66.5,99.2,89.7,88.3
47,Fran Navarro,Gil Vicente,Primeira Liga,2,83.42000000000002,93.2,99.1,66.8,95.7,62.3
48,Gonçalo Ramos,Benfica,Primeira Liga,1,92.36,100.0,100.0,74.8,99.3,87.7
