,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Richairo Zivkovic,FC Emmen,Eredivise,46,19.92,64.7,28.2,0.8,3.5,2.4
1,Mats Köhlert,sc Heerenveen,Eredivise,45,21.5,13.9,7.4,20.5,12.9,52.8
2,Bilal Ould-Chikh,FC Volendam,Eredivise,44,21.64,9.9,6.5,14.6,33.7,43.5
3,Christos Tzolis,FC Twente,Eredivise,43,23.3,20.5,16.6,33.4,13.6,32.4
4,Elayis Tavsan,N.E.C.,Eredivise,42,24.060000000000002,14.3,12.2,24.1,19.4,50.3
5,Remco Balk,SC Cambuur,Eredivise,41,26.180000000000003,29.0,29.1,8.9,35.0,28.9
6,Isac Lidberg,Go Ahead Eagles,Eredivise,40,29.240000000000002,28.1,18.2,71.1,11.6,17.2
7,Couhaib Driouech,Excelsior Rotterdam,Eredivise,39,30.38,19.7,12.9,18.8,31.9,68.6
8,Ole Romeny,FC Emmen,Eredivise,38,32.56,30.6,17.9,66.8,10.6,36.9
9,Henk Veerman,FC Volendam,Eredivise,37,33.339999999999996,41.6,35.4,60.9,20.4,8.4
10,Oliver Valaker Edvardsen,Go Ahead Eagles,Eredivise,36,34.720000000000006,30.6,47.8,31.3,37.0,26.9
11,Rui Mendes,FC Emmen,Eredivise,35,34.8,20.2,11.7,14.9,45.5,81.7
12,Vito van Crooij,Sparta Rotterdam,Eredivise,34,34.84,26.7,44.0,27.2,46.1,30.2
13,Tijjani Noslin,Fortuna Sittard,Eredivise,33,36.00000000000001,19.8,38.0,24.3,58.7,39.2
14,Paul Gladon,Fortuna Sittard,Eredivise,32,36.44,32.9,27.5,75.0,17.0,29.8
15,Reda Kharchouch,Excelsior Rotterdam,Eredivise,31,39.440000000000005,30.4,41.3,37.0,48.3,40.2
16,Roberts Uldrikis,SC Cambuur,Eredivise,30,39.64,64.3,36.7,22.8,21.2,53.2
17,Moussa Sylla,FC Utrecht,Eredivise,29,41.08,32.2,12.1,15.4,64.0,81.7
18,Paulos Abraham,FC Groningen,Eredivise,28,41.540000000000006,14.9,31.7,57.6,42.6,60.9
19,Daryl van Mieghem,FC Volendam,Eredivise,27,42.720000000000006,24.3,40.4,22.2,75.4,51.3
20,Myron van Brederode,AZ,Eredivise,26,43.019999999999996,18.3,20.9,20.5,61.9,93.5
21,Amin Sarr,sc Heerenveen,Eredivise,25,43.080000000000005,32.9,34.3,26.8,47.7,73.7
22,Nikolai Frederiksen,Vitesse,Eredivise,24,45.46,47.4,48.8,92.4,21.2,17.5
23,Daan Rots,FC Twente,Eredivise,23,46.96,37.8,49.0,45.0,43.5,59.5
24,Javairô Dilrosun,Feyenoord,Eredivise,22,47.2,34.9,30.3,60.1,51.2,59.5
25,Oussama Tannane,N.E.C.,Eredivise,21,48.46000000000001,48.6,21.0,36.5,53.0,83.2
26,Ricky van Wolfswinkel,FC Twente,Eredivise,20,49.12000000000001,90.2,75.9,29.4,28.2,21.9
27,Burak Yilmaz,Fortuna Sittard,Eredivise,19,49.3,59.1,41.9,93.3,12.0,40.2
28,Cyril Ngonge,FC Groningen,Eredivise,18,50.1,22.9,24.7,60.8,66.1,76.0
29,Michiel Kramer,RKC Waalwijk,Eredivise,17,51.28,57.1,62.9,31.6,57.4,47.4
30,Tobias Lauritsen,Sparta Rotterdam,Eredivise,16,53.36,70.5,80.5,57.1,37.2,21.5
31,Patrik Wålemark,Feyenoord,Eredivise,15,55.18,17.5,25.9,43.9,91.8,96.8
32,Sydney van Hooijdonk,sc Heerenveen,Eredivise,14,56.660000000000004,40.3,70.1,85.5,64.0,23.4
33,Jens Odgaard,AZ,Eredivise,13,57.94,99.4,96.1,73.7,14.7,5.8
34,Brian Brobbey,Ajax,Eredivise,12,57.940000000000005,100.0,99.2,75.9,13.6,1.0
35,Robert Mühren,FC Volendam,Eredivise,11,60.400000000000006,72.2,91.2,32.2,68.1,38.3
36,Steven Berghuis,Ajax,Eredivise,10,60.7,32.0,42.3,50.7,83.1,95.4
37,Johan Bakayoko,PSV,Eredivise,9,65.52,38.5,82.4,37.5,99.3,69.9
38,Danilo,Feyenoord,Eredivise,8,67.82000000000001,90.2,91.9,99.9,42.6,14.5
39,Dusan Tadic,Ajax,Eredivise,7,69.88,85.1,41.1,25.8,98.1,99.3
40,Anastasios Douvikas,FC Utrecht,Eredivise,6,70.18,88.6,84.8,87.2,71.9,18.4
41,Daishawn Redan,FC Utrecht,Eredivise,5,70.44000000000001,78.5,91.6,39.8,60.6,81.7
42,Václav Cerny,FC Twente,Eredivise,4,73.34,60.1,80.7,96.1,76.6,53.2
43,Steven Bergwijn,Ajax,Eredivise,3,81.32000000000001,85.5,84.4,74.4,84.4,77.9
44,Bas Dost,FC Utrecht,Eredivise,2,85.8,76.2,98.2,98.6,97.0,59.0
45,Cody Gakpo,PSV,Eredivise,1,95.16,93.2,98.6,85.8,99.8,98.4
