,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Aitor Ruibal,Real Betis,La Liga,39,17.419999999999998,7.8,11.6,15.7,12.2,39.8
1,Óscar Plano,Real Valladolid,La Liga,38,19.340000000000003,15.5,17.4,6.2,33.9,23.7
2,Borja Mayoral,Getafe,La Liga,37,21.44,22.2,20.3,22.4,15.7,26.6
3,Anthony Lozano,Cádiz,La Liga,36,22.299999999999997,20.8,16.8,20.9,12.6,40.4
4,Lucas Pérez,Cádiz,La Liga,35,22.46,32.0,26.8,1.4,28.0,24.1
5,Lucas Boyé,Elche,La Liga,34,22.94,14.7,19.6,21.8,26.1,32.5
6,Valentín Castellanos,Girona,La Liga,33,24.96,50.2,24.5,20.3,11.4,18.4
7,Javier Puado,Espanyol,La Liga,32,25.14,27.0,22.0,3.0,23.5,50.2
8,Luiz Henrique,Real Betis,La Liga,31,28.220000000000006,13.9,28.4,41.0,35.7,22.1
9,Ezequiel Ponce,Elche,La Liga,30,28.3,55.0,32.6,22.6,14.6,16.7
10,Enes Ünal,Getafe,La Liga,29,31.580000000000002,28.4,23.3,63.7,18.4,24.1
11,Sergio Camello,Rayo Vallecano,La Liga,28,33.24,57.3,33.0,35.2,14.9,25.8
12,Joselu,Espanyol,La Liga,27,35.220000000000006,52.0,46.9,44.1,28.0,5.1
13,João Félix,Atlético de Madrid,La Liga,26,38.400000000000006,42.8,35.8,38.6,35.5,39.3
14,Samuel Lino,Valencia CF,La Liga,25,38.86000000000001,27.1,33.1,30.5,37.7,65.9
15,Largie Ramazani,Almería,La Liga,24,39.16,12.7,29.6,52.7,34.4,66.4
16,Vedat Muriqi,Mallorca,La Liga,23,39.78,42.5,45.0,61.8,30.1,19.5
17,Nicolas Jackson,Villarreal,La Liga,22,41.32,18.4,43.0,39.9,60.3,45.0
18,Juanmi,Real Betis,La Liga,21,42.86,14.0,52.0,60.9,56.8,30.6
19,Borja Iglesias,Real Betis,La Liga,20,43.260000000000005,69.1,47.2,58.6,18.9,22.5
20,Iago Aspas,Celta de Vigo,La Liga,19,43.28,45.4,24.9,89.3,21.9,34.9
21,Iker Muniain,Athletic Club,La Liga,18,48.62,67.8,48.8,24.3,46.3,55.9
22,Nico Williams,Athletic Club,La Liga,17,49.24,15.2,31.4,73.8,62.3,63.5
23,Nabil Fekir,Real Betis,La Liga,16,50.00000000000001,66.9,20.8,33.6,48.7,80.0
24,Martin Braithwaite,Espanyol,La Liga,15,51.04,39.3,78.2,55.2,73.4,9.1
25,Álvaro Morata,Atlético de Madrid,La Liga,14,55.02,74.3,68.3,87.8,40.1,4.6
26,Ante Budimir,Osasuna,La Liga,13,56.260000000000005,71.7,76.0,37.0,56.8,39.8
27,Iñaki Williams,Athletic Club,La Liga,12,56.559999999999995,72.7,55.3,49.9,56.3,48.6
28,Chimy Avila,Osasuna,La Liga,11,58.0,29.2,49.8,85.6,75.2,50.2
29,Umar Sadiq,Real Sociedad,La Liga,10,60.1,49.2,62.4,82.7,48.2,58.0
30,Rafa Mir,Sevilla,La Liga,9,65.94,71.5,63.3,53.8,44.2,96.9
31,Ousmane Dembélé,Barcelona,La Liga,8,67.47999999999999,40.3,45.8,63.8,88.2,99.3
32,Alex Berenguer,Athletic Club,La Liga,7,72.70000000000002,80.4,68.9,78.7,75.5,60.0
33,Rodrygo,Real Madrid,La Liga,6,73.42,79.6,69.9,54.5,84.2,78.9
34,Raphinha,Barcelona,La Liga,5,74.08000000000001,71.9,54.9,48.0,95.9,99.7
35,Vinícius Júnior,Real Madrid,La Liga,4,79.74000000000001,67.0,74.7,80.1,78.7,98.2
36,Gerard Moreno,Villarreal,La Liga,3,85.62,77.6,96.7,81.7,95.1,77.0
37,Karim Benzema,Real Madrid,La Liga,2,87.56,99.7,98.5,70.7,92.3,76.6
38,Robert Lewandowski,Barcelona,La Liga,1,95.86,100.0,100.0,100.0,100.0,79.3
