,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Andy Delort,Nice,Ligue 1,44,16.200000000000003,27.0,9.0,18.0,10.0,17.0
1,Jim Allevinah,Clermont,Ligue 1,43,16.6,17.0,9.0,14.0,9.0,34.0
2,Nicolas Pépé,Nice,Ligue 1,42,17.200000000000003,24.0,10.0,17.0,9.0,26.0
3,Gauthier Hein,Auxerre,Ligue 1,41,20.6,15.0,8.0,15.0,15.0,50.0
4,Komnen Andric,Clermont,Ligue 1,40,23.400000000000002,31.0,24.0,29.0,25.0,8.0
5,Adrien Hunou,Angers,Ligue 1,39,25.400000000000002,19.0,22.0,42.0,23.0,21.0
6,Krépin Diatta,Monaco,Ligue 1,38,27.4,9.0,17.0,30.0,46.0,35.0
7,Mounaim El Idrissy,Ajaccio,Ligue 1,37,28.4,25.0,24.0,14.0,27.0,52.0
8,Mostafa Mohamed,Nantes,Ligue 1,36,28.6,22.0,12.0,71.0,13.0,25.0
9,Cyrille Bayala,Ajaccio,Ligue 1,35,29.400000000000002,9.0,12.0,35.0,27.0,64.0
10,Arnaud Nordin,Montpellier,Ligue 1,34,29.400000000000006,14.0,14.0,49.0,33.0,37.0
11,Zakaria Aboukhlal,Toulouse,Ligue 1,33,32.0,27.0,18.0,15.0,36.0,64.0
12,Lois Diony,Angers,Ligue 1,32,34.800000000000004,42.0,49.0,15.0,33.0,35.0
13,Wahbi Khazri,Montpellier,Ligue 1,31,36.0,16.0,21.0,80.0,29.0,34.0
14,Wissam Ben Yedder,Monaco,Ligue 1,30,36.2,25.0,28.0,8.0,47.0,73.0
15,Amine Gouiri,Rennes,Ligue 1,29,37.0,81.0,45.0,11.0,27.0,21.0
16,Jonathan David,Lille,Ligue 1,28,37.6,69.0,49.0,36.0,22.0,12.0
17,Habib Diallo,Strasbourg,Ligue 1,27,37.800000000000004,54.0,15.0,64.0,25.0,31.0
18,Rafael Ratão,Toulouse,Ligue 1,26,41.00000000000001,27.0,57.0,29.0,61.0,31.0
19,Muhammed Cham,Clermont,Ligue 1,25,42.0,21.0,36.0,37.0,54.0,62.0
20,Ludovic Ajorque,Strasbourg,Ligue 1,24,43.4,81.0,30.0,66.0,5.0,35.0
21,Mama Baldé,Troyes,Ligue 1,23,44.2,29.0,54.0,76.0,52.0,10.0
22,Terem Moffi,Lorient,Ligue 1,22,45.00000000000001,80.0,76.0,23.0,25.0,21.0
23,Breel Embolo,Monaco,Ligue 1,21,46.60000000000001,38.0,51.0,42.0,48.0,54.0
24,Evann Guessand,Nantes,Ligue 1,20,47.0,22.0,44.0,54.0,57.0,58.0
25,Elye Wahi,Montpellier,Ligue 1,19,47.8,89.0,75.0,40.0,13.0,22.0
26,Gaëtan Laborde,Nice,Ligue 1,18,47.800000000000004,27.0,51.0,60.0,53.0,48.0
27,Kevin Gameiro,Strasbourg,Ligue 1,17,49.800000000000004,94.0,76.0,38.0,24.0,17.0
28,Dango Ouattara,Lorient,Ligue 1,16,53.2,34.0,21.0,41.0,74.0,96.0
29,Alexandre Lacazette,Lyon,Ligue 1,15,54.6,63.0,73.0,64.0,55.0,18.0
30,Martin Terrier,Rennes,Ligue 1,14,54.8,46.0,47.0,86.0,49.0,46.0
31,Jonathan Bamba,Lille,Ligue 1,13,56.80000000000001,41.0,58.0,38.0,73.0,74.0
32,Thijs Dallinga,Toulouse,Ligue 1,12,59.0,41.0,84.0,70.0,76.0,24.0
33,Junya Ito,Reims,Ligue 1,11,60.4,33.0,58.0,57.0,86.0,68.0
34,Florian Sotoca,Lens,Ligue 1,10,61.0,60.0,77.0,20.0,90.0,58.0
35,Alexis Sánchez,Marseille,Ligue 1,9,64.6,49.0,69.0,97.0,79.0,29.0
36,Moses Simon,Nantes,Ligue 1,8,65.4,51.0,77.0,50.0,90.0,59.0
37,Folarin Balogun,Reims,Ligue 1,7,69.20000000000002,96.0,90.0,58.0,34.0,68.0
38,Tetê,Lyon,Ligue 1,6,71.0,71.0,75.0,78.0,67.0,64.0
39,Karl Toko-Ekambi,Lyon,Ligue 1,5,72.80000000000001,50.0,75.0,48.0,99.0,92.0
40,Loïs Openda,Lens,Ligue 1,4,82.60000000000002,96.0,97.0,51.0,82.0,87.0
41,Neymar,Paris Saint-Germain,Ligue 1,3,93.0,94.0,92.0,86.0,99.0,94.0
42,Kylian Mbappé,Paris Saint-Germain,Ligue 1,2,97.6,100.0,100.0,99.0,95.0,94.0
43,Lionel Messi,Paris Saint-Germain,Ligue 1,1,99.0,100.0,96.0,100.0,99.0,100.0
