,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Ezequiel Ponce,Elche,La Liga,33,16.0,13.0,12.0,21.0,12.0,22.0
1,Borja Mayoral,Getafe,La Liga,32,20.0,15.0,25.0,6.0,27.0,27.0
2,Aitor Ruibal,Real Betis,La Liga,31,21.0,9.0,11.0,23.0,15.0,47.0
3,Enes Ünal,Getafe,La Liga,30,23.400000000000002,18.0,15.0,53.0,12.0,19.0
4,Valentín Castellanos,Girona,La Liga,29,23.400000000000002,26.0,22.0,26.0,19.0,24.0
5,Anthony Lozano,Cádiz,La Liga,28,24.4,21.0,17.0,26.0,15.0,43.0
6,Roger Martí,Elche,La Liga,27,25.400000000000002,40.0,37.0,2.0,23.0,25.0
7,Sergio Camello,Rayo Vallecano,La Liga,26,26.200000000000003,22.0,37.0,24.0,34.0,14.0
8,Nico Williams,Athletic Club,La Liga,25,28.0,21.0,22.0,27.0,35.0,35.0
9,Lucas Pérez,Cádiz,La Liga,24,28.2,19.0,40.0,1.0,50.0,31.0
10,Samuel Lino,Valencia CF,La Liga,23,30.6,13.0,13.0,50.0,20.0,57.0
11,Vedat Muriqi,Mallorca,La Liga,22,41.00000000000001,44.0,44.0,70.0,29.0,18.0
12,Iker Muniain,Athletic Club,La Liga,21,41.2,53.0,25.0,25.0,32.0,71.0
13,Borja Iglesias,Real Betis,La Liga,20,42.2,85.0,47.0,43.0,11.0,25.0
14,Joselu,Espanyol,La Liga,19,42.400000000000006,70.0,53.0,56.0,27.0,6.0
15,Nicolas Jackson,Villarreal,La Liga,18,42.6,21.0,34.0,55.0,41.0,62.0
16,Iago Aspas,Celta de Vigo,La Liga,17,42.800000000000004,37.0,27.0,85.0,32.0,33.0
17,Iñaki Williams,Athletic Club,La Liga,16,43.6,74.0,48.0,33.0,33.0,30.0
18,Juanmi,Real Betis,La Liga,15,44.4,15.0,53.0,57.0,62.0,35.0
19,João Félix,Atlético de Madrid,La Liga,14,46.2,46.0,44.0,45.0,51.0,45.0
20,Chimy Avila,Osasuna,La Liga,13,47.2,36.0,38.0,61.0,56.0,45.0
21,Nabil Fekir,Real Betis,La Liga,12,49.80000000000001,61.0,21.0,37.0,54.0,76.0
22,Largie Ramazani,Almería,La Liga,11,53.6,18.0,53.0,79.0,62.0,56.0
23,Álvaro Morata,Atlético de Madrid,La Liga,10,63.800000000000004,82.0,83.0,90.0,58.0,6.0
24,Umar Sadiq,Real Sociedad,La Liga,9,64.8,52.0,71.0,80.0,60.0,61.0
25,Ousmane Dembélé,Barcelona,La Liga,8,67.8,43.0,52.0,65.0,85.0,94.0
26,Raphinha,Barcelona,La Liga,7,71.8,71.0,62.0,28.0,99.0,99.0
27,Alex Berenguer,Athletic Club,La Liga,6,72.4,91.0,70.0,80.0,67.0,54.0
28,Rafa Mir,Sevilla,La Liga,5,80.60000000000001,88.0,85.0,63.0,68.0,99.0
29,Gerard Moreno,Villarreal,La Liga,4,82.80000000000001,97.0,92.0,86.0,61.0,78.0
30,Vinícius Júnior,Real Madrid,La Liga,3,84.8,70.0,85.0,76.0,94.0,99.0
31,Karim Benzema,Real Madrid,La Liga,2,86.0,99.0,99.0,65.0,94.0,73.0
32,Robert Lewandowski,Barcelona,La Liga,1,88.0,99.0,100.0,100.0,100.0,41.0
