,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Kieffer Moore,Bournemouth,Premier League,38,17.12,28.7,11.8,34.8,5.2,5.1
1,Brennan Johnson,Nottingham Forest,Premier League,37,18.14,13.7,14.4,29.0,12.6,21.0
2,Joelinton,Newcastle United,Premier League,36,20.02,20.4,15.4,18.6,19.7,26.0
3,Jarrod Bowen,West Ham United,Premier League,35,22.22,28.4,22.9,14.1,20.9,24.8
4,Jordan Ayew,Crystal Palace,Premier League,34,23.300000000000004,11.9,13.7,40.7,13.9,36.3
5,Alexander Iwobi,Everton,Premier League,33,24.16,7.8,10.0,13.8,22.9,66.3
6,Gonçalo Guedes,Wolverhampton Wanderers,Premier League,32,25.740000000000006,22.1,16.3,22.6,15.6,52.1
7,Jamie Vardy,Leicester City,Premier League,31,25.959999999999997,46.1,38.4,23.5,18.5,3.3
8,Michail Antonio,West Ham United,Premier League,30,27.6,27.7,38.9,15.5,34.4,21.5
9,Bobby De Cordova-Reid,Fulham,Premier League,29,29.42,17.4,47.5,24.6,51.4,6.2
10,Dominic Solanke,Bournemouth,Premier League,28,29.620000000000005,24.2,26.1,46.6,20.9,30.3
11,Saïd Benrahma,West Ham United,Premier League,27,29.64,13.6,14.8,15.0,37.8,67.0
12,Leon Bailey,Aston Villa,Premier League,26,30.68,17.3,18.1,52.7,31.0,34.3
13,Adam Armstrong,Southampton,Premier League,25,31.040000000000003,16.1,27.0,25.2,41.3,45.6
14,Pedro Neto,Wolverhampton Wanderers,Premier League,24,32.84,35.0,17.8,13.2,28.0,70.2
15,Ollie Watkins,Aston Villa,Premier League,23,34.120000000000005,53.1,24.8,19.0,36.0,37.7
16,Demarai Gray,Everton,Premier League,22,37.040000000000006,53.1,26.1,25.7,20.9,59.4
17,Danny Welbeck,Brighton and Hove Albion,Premier League,21,37.82,83.2,32.5,28.1,15.0,30.3
18,Leandro Trossard,Brighton and Hove Albion,Premier League,20,40.660000000000004,33.1,35.6,19.9,56.8,57.9
19,Anthony Gordon,Everton,Premier League,19,42.68000000000001,19.0,38.6,48.4,45.2,62.2
20,Che Adams,Southampton,Premier League,18,46.7,74.6,64.5,30.1,47.3,17.0
21,Jadon Sancho,Manchester United,Premier League,17,48.480000000000004,44.3,37.4,70.9,32.6,57.2
22,Ivan Toney,Brentford,Premier League,16,52.68,64.5,60.4,35.5,48.0,55.0
23,Luis Díaz,Liverpool,Premier League,15,57.58,80.1,66.8,69.1,42.2,29.7
24,Allan Saint-Maximin,Newcastle United,Premier League,14,58.24000000000001,37.0,29.4,50.2,79.2,95.4
25,Taiwo Awoniyi,Nottingham Forest,Premier League,13,58.620000000000005,58.8,88.2,67.4,76.7,2.0
26,Aleksandar Mitrovic,Fulham,Premier League,12,58.76,35.8,73.1,99.0,74.3,11.6
27,Gabriel Martinelli,Arsenal,Premier League,11,59.0,58.4,49.9,34.4,68.0,84.3
28,Rodrigo,Leeds United,Premier League,10,62.800000000000004,47.4,84.2,74.5,84.2,23.7
29,Marcus Rashford,Manchester United,Premier League,9,64.66,92.1,70.4,48.2,47.7,64.9
30,Son Heung-Min,Tottenham Hotspur,Premier League,8,73.08,74.6,70.4,84.3,61.0,75.1
31,Raheem Sterling,Chelsea,Premier League,7,75.44,68.6,79.4,54.5,88.3,86.4
32,Wilfried Zaha,Crystal Palace,Premier League,6,75.7,50.3,69.9,73.0,87.4,97.9
33,Mohamed Salah,Liverpool,Premier League,5,80.54,97.5,82.4,69.4,70.9,82.5
34,Harry Kane,Tottenham Hotspur,Premier League,4,84.66000000000001,97.7,89.6,98.6,56.4,81.0
35,Roberto Firmino,Liverpool,Premier League,3,88.32000000000001,52.1,98.2,93.9,100.0,97.4
36,Gabriel Jesus,Arsenal,Premier League,2,89.25999999999999,84.1,95.0,84.6,91.4,91.2
37,Erling Haaland,Manchester City,Premier League,1,96.46000000000001,100.0,99.9,99.9,96.1,86.4
