,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Richairo Zivkovic,FC Emmen,Eredivise,39,19.199999999999996,72.0,19.0,1.0,2.0,2.0
1,Mats Köhlert,sc Heerenveen,Eredivise,38,20.6,13.0,7.0,20.0,15.0,48.0
2,Elayis Tavsan,N.E.C.,Eredivise,37,21.6,13.0,11.0,24.0,22.0,38.0
3,Christos Tzolis,FC Twente,Eredivise,36,25.800000000000004,22.0,14.0,38.0,12.0,43.0
4,Remco Balk,SC Cambuur,Eredivise,35,25.800000000000004,25.0,28.0,7.0,39.0,30.0
5,Ole Romeny,FC Emmen,Eredivise,34,29.400000000000006,35.0,14.0,63.0,8.0,27.0
6,Couhaib Driouech,Excelsior Rotterdam,Eredivise,33,31.000000000000004,20.0,13.0,19.0,34.0,69.0
7,Vito van Crooij,Sparta Rotterdam,Eredivise,32,31.200000000000003,19.0,32.0,31.0,45.0,29.0
8,Isac Lidberg,Go Ahead Eagles,Eredivise,31,34.2,38.0,19.0,84.0,11.0,19.0
9,Henk Veerman,FC Volendam,Eredivise,30,35.8,43.0,36.0,67.0,24.0,9.0
10,Rui Mendes,FC Emmen,Eredivise,29,35.800000000000004,21.0,13.0,14.0,51.0,80.0
11,Tijjani Noslin,Fortuna Sittard,Eredivise,28,37.00000000000001,21.0,42.0,25.0,56.0,41.0
12,Reda Kharchouch,Excelsior Rotterdam,Eredivise,27,38.400000000000006,29.0,39.0,38.0,47.0,39.0
13,Oliver Valaker Edvardsen,Go Ahead Eagles,Eredivise,26,40.199999999999996,37.0,65.0,17.0,52.0,30.0
14,Paul Gladon,Fortuna Sittard,Eredivise,25,41.400000000000006,33.0,30.0,88.0,22.0,34.0
15,Amin Sarr,sc Heerenveen,Eredivise,24,43.6,33.0,35.0,27.0,50.0,73.0
16,Myron van Brederode,AZ,Eredivise,23,43.8,21.0,23.0,21.0,60.0,94.0
17,Roberts Uldrikis,SC Cambuur,Eredivise,22,44.00000000000001,68.0,39.0,25.0,27.0,61.0
18,Oussama Tannane,N.E.C.,Eredivise,21,44.599999999999994,17.0,20.0,45.0,57.0,84.0
19,Nikolai Frederiksen,Vitesse,Eredivise,20,45.4,45.0,45.0,95.0,24.0,18.0
20,Daryl van Mieghem,FC Volendam,Eredivise,19,45.400000000000006,27.0,47.0,23.0,81.0,49.0
21,Javairô Dilrosun,Feyenoord,Eredivise,18,48.0,34.0,32.0,69.0,52.0,53.0
22,Cyril Ngonge,FC Groningen,Eredivise,17,49.4,22.0,24.0,64.0,64.0,73.0
23,Michiel Kramer,RKC Waalwijk,Eredivise,16,51.2,68.0,66.0,14.0,59.0,49.0
24,Patrik Wålemark,Feyenoord,Eredivise,15,53.6,16.0,24.0,45.0,88.0,95.0
25,Tobias Lauritsen,Sparta Rotterdam,Eredivise,14,53.60000000000001,70.0,82.0,51.0,44.0,21.0
26,Ricky van Wolfswinkel,FC Twente,Eredivise,13,53.800000000000004,95.0,83.0,35.0,33.0,23.0
27,Burak Yilmaz,Fortuna Sittard,Eredivise,12,54.800000000000004,71.0,50.0,95.0,15.0,43.0
28,Brian Brobbey,Ajax,Eredivise,11,55.6,100.0,98.0,68.0,12.0,0.0
29,Robert Mühren,FC Volendam,Eredivise,10,61.2,76.0,88.0,43.0,57.0,42.0
30,Steven Berghuis,Ajax,Eredivise,9,61.400000000000006,35.0,43.0,56.0,82.0,91.0
31,Sydney van Hooijdonk,sc Heerenveen,Eredivise,8,63.4,48.0,78.0,95.0,69.0,27.0
32,Johan Bakayoko,PSV,Eredivise,7,64.2,38.0,80.0,38.0,98.0,67.0
33,Dusan Tadic,Ajax,Eredivise,6,68.2,86.0,40.0,28.0,90.0,97.0
34,Daishawn Redan,FC Utrecht,Eredivise,5,69.60000000000001,80.0,90.0,41.0,58.0,79.0
35,Danilo,Feyenoord,Eredivise,4,69.60000000000001,91.0,93.0,100.0,47.0,17.0
36,Steven Bergwijn,Ajax,Eredivise,3,85.4,91.0,88.0,78.0,79.0,91.0
37,Bas Dost,FC Utrecht,Eredivise,2,86.6,85.0,99.0,94.0,97.0,58.0
38,Cody Gakpo,PSV,Eredivise,1,92.0,72.0,99.0,91.0,100.0,98.0
