,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Ansgar Knauff,Eintracht Frankfurt,Bundesliga,40,18.42,9.5,6.4,10.6,16.2,49.4
1,Takuma Asano,VfL Bochum 1848,Bundesliga,39,19.200000000000003,8.3,8.8,17.5,36.0,25.4
2,Omar Marmoush,VfL Wolfsburg,Bundesliga,38,22.16,54.1,17.0,16.9,3.5,19.3
3,Gerrit Holtmann,VfL Bochum 1848,Bundesliga,37,22.900000000000002,8.2,9.7,31.2,44.6,20.8
4,Robert Skov,TSG Hoffenheim,Bundesliga,36,23.340000000000003,20.5,10.3,14.9,28.2,42.8
5,Chidera Ejuke,Hertha BSC,Bundesliga,35,23.36,9.7,10.4,21.3,21.1,54.3
6,Max Kruse,VfL Wolfsburg,Bundesliga,34,23.740000000000002,42.9,30.9,12.6,19.4,12.9
7,Marius Bülter,FC Schalke 04,Bundesliga,33,27.18,10.2,8.6,38.0,25.9,53.2
8,Karim Onisiwo,1. FSV Mainz 05,Bundesliga,32,30.260000000000005,42.6,26.5,37.4,18.1,26.7
9,Jordan Siebatcheu,1. FC Union Berlin,Bundesliga,31,30.720000000000006,69.2,21.8,45.8,8.8,8.0
10,Anthony Modeste,Borussia Dortmund,Bundesliga,30,31.66,34.4,33.3,50.5,22.7,17.4
11,Philipp Hofmann,VfL Bochum 1848,Bundesliga,29,35.58,54.1,22.0,17.2,39.0,45.6
12,Wilfried Kanga,Hertha BSC,Bundesliga,28,35.660000000000004,47.5,54.7,4.8,42.7,28.6
13,Simon Terodde,FC Schalke 04,Bundesliga,27,35.74,56.1,42.7,49.4,17.0,13.5
14,Ermedin Demirovic,FC Augsburg,Bundesliga,26,36.34,51.9,24.0,74.5,8.9,22.4
15,Timo Werner,RB Leipzig,Bundesliga,25,43.28,60.3,48.2,10.0,42.5,55.4
16,Lukas Nmecha,VfL Wolfsburg,Bundesliga,24,44.3,65.7,54.9,74.5,19.0,7.4
17,Moussa Diaby,Bayer 04 Leverkusen,Bundesliga,23,46.68000000000001,13.2,23.6,10.5,89.7,96.4
18,Niclas Füllkrug,SV Werder Bremen,Bundesliga,22,47.620000000000005,39.0,61.2,31.9,64.2,41.8
19,Andrej Kramaric,TSG Hoffenheim,Bundesliga,21,47.7,73.2,63.9,38.4,37.6,25.4
20,Marvin Ducksch,SV Werder Bremen,Bundesliga,20,47.980000000000004,55.6,17.2,74.7,18.4,74.0
21,Randal Kolo Muani,Eintracht Frankfurt,Bundesliga,19,48.58,67.0,33.9,51.8,28.9,61.3
22,Alassane Plea,Mönchengladbach,Bundesliga,18,49.160000000000004,17.3,22.6,39.5,66.5,99.9
23,Dodi Lukébakio,Hertha BSC,Bundesliga,17,50.519999999999996,38.9,45.4,76.1,50.4,41.8
24,Kingsley Coman,FC Bayern München,Bundesliga,16,52.3,13.8,47.6,34.7,94.6,70.8
25,Sheraldo Becker,1. FC Union Berlin,Bundesliga,15,53.58,16.2,49.1,73.1,73.0,56.5
26,Georginio Rutter,TSG Hoffenheim,Bundesliga,14,56.36,16.5,38.9,35.2,91.6,99.6
27,Patrik Schick,Bayer 04 Leverkusen,Bundesliga,13,56.54,97.3,94.9,50.7,34.4,5.4
28,Silas Mvumpa,VfB Stuttgart,Bundesliga,12,58.68000000000001,30.2,67.4,31.6,76.6,87.6
29,Ritsu Doan,Sport-Club Freiburg,Bundesliga,11,59.14,10.3,60.2,72.1,87.7,65.4
30,Simon Zoller,VfL Bochum 1848,Bundesliga,10,60.10000000000001,91.7,86.4,59.0,27.4,36.0
31,Christopher Nkunku,RB Leipzig,Bundesliga,9,62.84,60.1,85.0,70.9,73.2,25.0
32,Florian Dietz,1. FC Köln,Bundesliga,8,63.7,98.7,77.5,89.1,10.4,42.8
33,Thomas Müller,FC Bayern München,Bundesliga,7,65.1,79.9,61.8,35.8,87.2,60.8
34,Marcus Thuram,Mönchengladbach,Bundesliga,6,72.24000000000001,63.1,98.0,36.6,90.8,72.7
35,Michael Gregoritsch,Sport-Club Freiburg,Bundesliga,5,75.46000000000001,91.3,89.9,96.3,53.2,46.6
36,Serge Gnabry,FC Bayern München,Bundesliga,4,81.74000000000001,45.2,87.2,90.4,98.1,87.8
37,Sadio Mané,FC Bayern München,Bundesliga,3,82.76,80.4,97.5,98.2,88.9,48.8
38,Jamal Musiala,FC Bayern München,Bundesliga,2,85.60000000000001,98.1,95.0,87.3,82.7,64.9
39,Leroy Sané,FC Bayern München,Bundesliga,1,95.62,96.8,97.0,99.9,98.3,86.1
