,Full Name,Team,League,Rank,Rating,Positioning,Goal Scoring,Finishing,Contribution Added,Threat Creation
0,Islam Slimani,Brest,Ligue 1,53,15.46,30.5,12.7,17.7,13.1,3.3
1,Lassine Sinayoko,Auxerre,Ligue 1,52,16.4,10.7,6.4,8.7,16.7,39.5
2,Iké Ugbo,Troyes,Ligue 1,51,17.840000000000003,29.7,13.3,15.2,9.8,21.2
3,Andy Delort,Nice,Ligue 1,50,18.02,35.2,11.2,19.4,9.6,14.7
4,Jérémie Bela,Clermont,Ligue 1,49,18.740000000000002,11.2,10.9,14.7,18.8,38.1
5,Romain Hamouma,Ajaccio,Ligue 1,48,20.22,15.2,7.2,16.5,22.7,39.5
6,Gauthier Hein,Auxerre,Ligue 1,47,20.7,16.0,8.5,16.2,15.5,47.3
7,Jim Allevinah,Clermont,Ligue 1,46,22.380000000000003,18.7,15.2,24.1,16.3,37.6
8,Komnen Andric,Clermont,Ligue 1,45,25.12,31.9,27.5,29.7,26.6,9.9
9,Mostafa Mohamed,Nantes,Ligue 1,44,26.84,23.9,12.7,74.3,12.7,10.6
10,Mounaim El Idrissy,Ajaccio,Ligue 1,43,29.779999999999998,34.4,28.4,14.6,23.2,48.3
11,Cyrille Bayala,Ajaccio,Ligue 1,42,29.84,13.0,15.4,33.6,24.7,62.5
12,Nicolas Pépé,Nice,Ligue 1,41,31.54,47.6,27.0,19.1,20.1,43.9
13,Krépin Diatta,Monaco,Ligue 1,40,32.52,12.5,28.6,29.7,53.2,38.6
14,Wilson Odobert,Troyes,Ligue 1,39,34.32,39.0,25.2,45.4,15.2,46.8
15,Wahbi Khazri,Montpellier,Ligue 1,38,34.74,17.0,18.7,76.9,24.0,37.1
16,Habib Diallo,Strasbourg,Ligue 1,37,36.36000000000001,52.1,15.5,63.0,26.6,24.6
17,Jonathan David,Lille,Ligue 1,36,36.5,65.2,43.4,39.2,21.9,12.8
18,Zakaria Aboukhlal,Toulouse,Ligue 1,35,37.24,31.9,26.0,28.7,39.0,60.6
19,Adrien Hunou,Angers,Ligue 1,34,37.940000000000005,18.6,52.8,40.0,57.8,20.5
20,Wissam Ben Yedder,Monaco,Ligue 1,33,38.04,27.9,31.7,8.9,48.6,73.1
21,Arnaud Nordin,Montpellier,Ligue 1,32,39.7,17.7,24.8,74.9,40.6,40.5
22,Lois Diony,Angers,Ligue 1,31,40.940000000000005,44.4,62.7,16.4,46.4,34.8
23,Cengiz Ünder,Marseille,Ligue 1,30,43.28,23.4,55.6,6.6,82.5,48.3
24,Rafael Ratão,Toulouse,Ligue 1,29,43.440000000000005,30.6,61.3,32.6,61.5,31.2
25,Terem Moffi,Lorient,Ligue 1,28,43.519999999999996,75.9,68.8,17.5,23.7,31.7
26,Muhammed Cham,Clermont,Ligue 1,27,44.42,23.1,40.0,35.5,56.4,67.1
27,Elye Wahi,Montpellier,Ligue 1,26,46.84,75.2,66.4,53.8,20.1,18.7
28,Ludovic Ajorque,Strasbourg,Ligue 1,25,48.900000000000006,83.7,35.2,82.4,7.0,36.2
29,Evann Guessand,Nantes,Ligue 1,24,49.78,22.8,41.2,54.2,58.0,72.7
30,Mama Baldé,Troyes,Ligue 1,23,50.2,38.5,60.7,89.6,49.4,12.8
31,Sofiane Boufal,Angers,Ligue 1,22,51.36000000000001,42.2,23.3,85.7,39.4,66.2
32,Gaëtan Laborde,Nice,Ligue 1,21,51.64000000000001,35.7,52.8,54.8,60.7,54.2
33,Jonathan Bamba,Lille,Ligue 1,20,53.480000000000004,38.6,50.8,38.4,66.1,73.5
34,Amine Gouiri,Rennes,Ligue 1,19,55.400000000000006,56.2,64.6,68.2,63.8,24.2
35,Kevin Gameiro,Strasbourg,Ligue 1,18,55.64,96.9,89.9,29.1,40.4,21.9
36,Breel Embolo,Monaco,Ligue 1,17,56.26,67.0,65.9,64.3,40.2,43.9
37,Dango Ouattara,Lorient,Ligue 1,16,56.84,30.8,25.9,64.8,73.7,89.0
38,Junya Ito,Reims,Ligue 1,15,59.02,30.6,46.6,53.7,81.0,83.2
39,Moses Simon,Nantes,Ligue 1,14,60.50000000000001,48.6,70.9,43.4,83.4,56.2
40,Florian Sotoca,Lens,Ligue 1,13,60.96,66.3,72.3,21.8,81.9,62.5
41,Alexandre Lacazette,Lyon,Ligue 1,12,62.16,96.2,84.5,65.1,40.4,24.6
42,Folarin Balogun,Reims,Ligue 1,11,63.06,93.5,83.6,53.3,31.7,53.2
43,Thijs Dallinga,Toulouse,Ligue 1,10,64.04,45.5,92.7,70.2,86.5,25.3
44,Karl Toko-Ekambi,Lyon,Ligue 1,9,68.12,51.2,57.0,63.9,90.0,78.5
45,Alexis Sánchez,Marseille,Ligue 1,8,69.86000000000001,74.2,82.0,94.7,70.6,27.8
46,Martin Terrier,Rennes,Ligue 1,7,70.6,44.6,67.7,97.7,75.0,68.0
47,Tetê,Lyon,Ligue 1,6,70.7,79.6,74.6,63.6,69.5,66.2
48,Armand Laurienté,Lorient,Ligue 1,5,77.48000000000002,53.6,97.7,40.6,99.9,95.6
49,Loïs Openda,Lens,Ligue 1,4,81.16,96.2,97.1,53.6,78.6,80.3
50,Kylian Mbappé,Paris Saint-Germain,Ligue 1,3,95.44000000000001,99.9,99.8,97.7,81.9,97.9
51,Neymar,Paris Saint-Germain,Ligue 1,2,95.74000000000001,95.8,94.8,93.8,99.5,94.8
52,Lionel Messi,Paris Saint-Germain,Ligue 1,1,99.56,99.8,98.3,100.0,99.7,100.0
