Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Robert Lewandowski,Barcelona,La Liga,2022,34,Forward,FW,5,377,6,1.432,6.335,1.512,6.335,1.512,8.053,,2.849,,2,0.477,0.852,0.203,0.852,0.203,4.898,1.169,0.318,0.076,0.087,0.021,0.232,0.055
Gerard Moreno,Villarreal,La Liga,2022,30,Forward,FW,5,371,2,0.485,3.798,0.921,3.798,0.921,2.757,,1.069,,0,,0.284,0.069,0.284,0.069,2.821,0.684,0.545,0.132,0.369,0.089,0.176,0.043
Vinícius Júnior,Real Madrid,La Liga,2022,22,Forward,WAM,5,436,4,0.826,3.12,0.644,3.12,0.644,3.241,,1.172,,1,0.206,1.02,0.211,1.019,0.21,2.627,0.542,1.313,0.271,0.261,0.054,1.051,0.217
Karim Benzema,Real Madrid,La Liga,2022,34,Forward,FW,4,360,3,0.75,4.851,1.213,4.069,1.017,3.68,,0.828,,1,0.25,0.74,0.185,0.716,0.179,2.522,0.63,0.525,0.131,0.217,0.054,0.308,0.077
Raphinha,Barcelona,La Liga,2022,25,Forward,WAM,5,309,1,0.291,1.533,0.446,1.533,0.446,1.274,,0.453,,1,0.291,1.825,0.532,1.799,0.524,2.436,0.709,0.892,0.26,0.506,0.148,0.385,0.112
Alex Berenguer,Athletic Club,La Liga,2022,27,Forward,WAM,5,402,3,0.672,2.849,0.638,2.849,0.638,2.98,,1.329,,0,,1.013,0.227,0.801,0.179,2.259,0.506,0.396,0.089,0.152,0.034,0.244,0.055
Ousmane Dembélé,Barcelona,La Liga,2022,25,Forward,WAM,5,339,2,0.531,1.475,0.392,1.475,0.392,1.105,,0.794,,2,0.531,1.281,0.34,1.158,0.307,2.086,0.554,0.828,0.22,0.472,0.125,0.355,0.094
Nicolas Jackson,Villarreal,La Liga,2022,21,Forward,CAM,5,329,1,0.274,1.361,0.372,1.361,0.372,0.973,,0.414,,1,0.274,0.553,0.151,0.553,0.151,1.601,0.438,0.272,0.074,0.279,0.076,-0.007,-0.002
Erik Lamela,Sevilla,La Liga,2022,30,Midfielder,WAM,5,356,1,0.253,1.533,0.387,1.533,0.387,1.77,,0.627,,0,,0.392,0.099,0.392,0.099,1.442,0.364,0.399,0.101,0.179,0.045,0.219,0.055
Rodrygo,Real Madrid,La Liga,2022,21,Forward,WAM,3,202,2,0.891,1.107,0.493,1.107,0.493,0.919,,0.035,,2,0.891,1,0.446,0.999,0.445,1.436,0.64,0.404,0.18,0.164,0.073,0.24,0.107
Martin Braithwaite,Espanyol,La Liga,2022,31,Forward,FW,2,176,2,1.023,1.794,0.917,1.794,0.917,1.868,,0.434,,0,,0.021,0.011,0.021,0.011,1.378,0.705,-0.062,-0.032,-0.078,-0.04,0.015,0.008
José Morales,Villarreal,La Liga,2022,35,Forward,WAM,5,139,1,0.647,1.309,0.848,1.309,0.848,1.618,,0.309,,0,,0.214,0.138,0.214,0.138,1.31,0.848,0.27,0.175,0.128,0.083,0.142,0.092
Momo Cho,Real Sociedad,La Liga,2022,18,Forward,WAM,5,216,0,,0.961,0.4,0.961,0.4,1.098,,0.277,,2,0.833,0.737,0.307,0.737,0.307,1.301,0.542,0.276,0.115,0.174,0.072,0.102,0.043
Frenkie de Jong,Barcelona,La Liga,2022,25,Midfielder,CM,5,260,1,0.346,1.087,0.376,1.087,0.376,0.513,,-0.104,,0,,0.499,0.173,0.498,0.172,1.253,0.434,0.515,0.178,0.33,0.114,0.185,0.064
Iñaki Williams,Athletic Club,La Liga,2022,28,Forward,WAM,5,378,1,0.238,2.429,0.578,1.648,0.392,1.588,,0.151,,0,,0.941,0.224,0.94,0.224,1.244,0.296,0.165,0.039,0.093,0.022,0.072,0.017
Hugo Duro,Valencia CF,La Liga,2022,22,Forward,FW,4,200,1,0.45,1.621,0.729,1.621,0.729,1.258,,0.143,,0,,0.031,0.014,0.031,0.014,1.21,0.545,-0.113,-0.051,-0.076,-0.034,-0.037,-0.017
José Ángel Carmona,Sevilla,La Liga,2022,20,Defender,FB,3,150,2,1.2,1.114,0.668,1.114,0.668,1.549,,0.459,,1,0.6,0.112,0.067,0.109,0.066,1.204,0.722,0.11,0.066,0.059,0.036,0.051,0.03
Juanmi,Real Betis,La Liga,2022,29,Forward,WAM,4,315,2,0.571,1.363,0.39,1.363,0.39,1.819,,0.588,,0,,0.041,0.012,0.041,0.012,1.192,0.341,0.13,0.037,-0.018,-0.005,0.147,0.042
Álvaro García,Rayo Vallecano,La Liga,2022,29,Midfielder,WAM,5,445,0,,0.529,0.107,0.529,0.107,0.634,,0.223,,1,0.202,1.147,0.232,1.131,0.229,1.148,0.232,0.514,0.104,0.339,0.068,0.175,0.035
Federico Valverde,Real Madrid,La Liga,2022,24,Midfielder,DMC,5,355,2,0.507,0.754,0.191,0.754,0.191,1.645,,1.074,,1,0.254,0.748,0.19,0.747,0.19,1.134,0.288,0.621,0.158,0.394,0.1,0.227,0.058
Moi Gómez,Osasuna,La Liga,2022,28,Midfielder,CAM,4,351,0,,0.627,0.161,0.627,0.161,0.653,,0.144,,0,,1.01,0.259,0.545,0.14,1.103,0.283,0.463,0.119,0.351,0.09,0.111,0.029
Álvaro Morata,Atlético de Madrid,La Liga,2022,29,Forward,FW,5,378,3,0.714,2.332,0.555,2.332,0.555,3.021,,1.341,,0,,0.069,0.016,0.069,0.016,1.097,0.261,-0.246,-0.059,0.031,0.007,-0.277,-0.066
Mikel Merino,Real Sociedad,La Liga,2022,26,Midfielder,CM,5,426,0,,1.786,0.377,1.004,0.212,1.129,,0.102,,1,0.211,0.829,0.175,0.828,0.175,1.087,0.23,0.82,0.173,0.601,0.127,0.219,0.046
Yunus Musah,Valencia CF,La Liga,2022,19,Midfielder,WAM,5,422,0,,0.474,0.101,0.474,0.101,,,,,2,0.427,0.732,0.156,0.732,0.156,1.075,0.229,0.394,0.084,0.212,0.045,0.181,0.039
Umar Sadiq,Real Sociedad,La Liga,2022,25,Forward,FW,5,325,3,0.831,1.692,0.469,1.692,0.469,2.323,,0.956,,0,,0.091,0.025,0.091,0.025,1.053,0.291,0.329,0.091,-0.041,-0.011,0.369,0.102
Largie Ramazani,Almería,La Liga,2022,21,Forward,WAM,4,322,2,0.559,1.106,0.309,1.106,0.309,1.79,,0.776,,0,,0.162,0.045,0.162,0.045,1.039,0.29,0.365,0.102,0.127,0.036,0.238,0.066
Iker Muniain,Athletic Club,La Liga,2022,29,Forward,WAM,5,401,0,,1.077,0.242,1.077,0.242,0.873,,0.175,,0,,0.939,0.211,0.646,0.145,1.029,0.231,0.474,0.106,0.365,0.082,0.109,0.024
João Félix,Atlético de Madrid,La Liga,2022,22,Forward,WAM,5,353,0,,1.184,0.302,1.184,0.302,0.84,,0.395,,3,0.765,0.578,0.147,0.578,0.147,0.993,0.253,0.246,0.063,0.141,0.036,0.105,0.027
