Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Marcus Thuram,Borussia Mönchengladbach,Bundesliga,2022,25,Forward,WAM,6,540,3,0.5,4.296,0.716,4.296,0.716,3.988,,0.666,,1,0.167,0.13,0.022,0.13,0.022,2.77,0.462,0.799,0.133,0.039,0.007,0.759,0.127
Moussa Diaby,Bayer 04 Leverkusen,Bundesliga,2022,23,Forward,WAM,6,531,0,,1.193,0.202,1.193,0.202,0.945,,0.041,,1,0.169,1.946,0.33,1.945,0.33,2.661,0.451,1.3,0.22,0.711,0.121,0.588,0.1
Vincenzo Grifo,Sport-Club Freiburg,Bundesliga,2022,29,Midfielder,WAM,6,482,3,0.56,2.55,0.476,1.768,0.33,2.583,,0.3,,1,0.187,1.954,0.365,1.276,0.238,2.542,0.475,0.839,0.157,0.706,0.132,0.133,0.025
Leroy Sané,FC Bayern München,Bundesliga,2022,26,Forward,WAM,6,364,2,0.495,2.764,0.683,2.764,0.683,4.273,,2.072,,1,0.247,1.582,0.391,1.581,0.391,2.404,0.594,0.678,0.168,0.451,0.112,0.227,0.056
Georginio Rutter,TSG Hoffenheim,Bundesliga,2022,20,Forward,FW,6,433,1,0.208,1.361,0.283,1.361,0.283,0.987,,0.514,,1,0.208,1.385,0.288,1.385,0.288,2.263,0.47,1.364,0.283,0.804,0.167,0.56,0.116
Christopher Nkunku,RB Leipzig,Bundesliga,2022,24,Forward,CM,6,540,4,0.667,3.946,0.658,3.165,0.527,4.447,,1.277,,0,,0.493,0.082,0.354,0.059,2.066,0.344,0.238,0.04,0.136,0.023,0.101,0.017
Ritsu Doan,Sport-Club Freiburg,Bundesliga,2022,24,Forward,WAM,6,426,2,0.423,1.815,0.383,1.815,0.383,2.504,,1.027,,0,,0.53,0.112,0.53,0.112,2.055,0.434,0.559,0.118,0.257,0.054,0.302,0.064
Sadio Mané,FC Bayern München,Bundesliga,2022,30,Forward,WAM,6,409,3,0.66,3.961,0.872,3.18,0.7,4.42,,1.772,,0,,0.413,0.091,0.413,0.091,2.019,0.444,0.396,0.087,0.103,0.023,0.293,0.064
Florian Kainz,1. FC Köln,Bundesliga,2022,29,Midfielder,WAM,6,446,2,0.404,1.75,0.353,0.969,0.195,2.154,,0.648,,3,0.605,2.12,0.428,1.311,0.264,2.01,0.406,0.974,0.197,0.891,0.18,0.084,0.017
Silas Mvumpa,VfB Stuttgart,Bundesliga,2022,23,Forward,WAM,6,494,1,0.182,2.302,0.419,2.302,0.419,2.421,,0.524,,1,0.182,0.574,0.105,0.574,0.105,1.989,0.362,0.951,0.173,0.536,0.098,0.415,0.076
