Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Fran Navarro,Gil Vicente,Primeira Liga,2022,24,Forward,FW,6,517,3,0.522,5.151,0.897,4.369,0.761,3.045,,0.674,,1,0.174,0.292,0.051,0.292,0.051,2.543,0.443,0.494,0.086,0.009,0.002,0.486,0.085
Ricardo Horta,Sporting Braga,Primeira Liga,2022,27,Forward,WAM,6,517,3,0.522,4.057,0.706,2.493,0.434,3.443,,1.188,,3,0.522,1.255,0.219,1.141,0.199,2.345,0.408,0.357,0.062,0.319,0.056,0.038,0.007
Trincão,Sporting CP,Primeira Liga,2022,22,Forward,WAM,6,525,2,0.343,2.064,0.354,2.064,0.354,1.305,,0.493,,1,0.171,1.542,0.264,1.403,0.24,2.305,0.395,0.68,0.117,0.454,0.078,0.226,0.039
Gonçalo Ramos,Benfica,Primeira Liga,2022,21,Forward,CAM,5,371,2,0.485,4.553,1.104,4.553,1.104,2.583,,0.563,,1,0.243,0.619,0.15,0.619,0.15,2.278,0.553,0.596,0.145,0.231,0.056,0.365,0.088
Iuri Medeiros,Sporting Braga,Primeira Liga,2022,28,Forward,WAM,6,365,2,0.493,1.655,0.408,1.655,0.408,0.581,,-0.07,,2,0.493,0.96,0.237,0.836,0.206,2.089,0.515,0.967,0.238,0.707,0.174,0.26,0.064
Pote,Sporting CP,Primeira Liga,2022,24,Midfielder,CM,6,539,4,0.668,3.584,0.598,3.584,0.598,4.211,,1.411,,3,0.501,1.731,0.289,1.36,0.227,2.037,0.34,0.636,0.106,0.501,0.084,0.134,0.022
Mehdi Taremi,FC Porto,Primeira Liga,2022,30,Forward,FW,6,486,4,0.741,2.669,0.494,1.887,0.349,2.953,,1.514,,2,0.37,0.995,0.184,0.995,0.184,2.034,0.377,0.791,0.147,0.392,0.073,0.399,0.074
João Mário,Benfica,Primeira Liga,2022,29,Midfielder,CAM,5,393,4,0.916,3.353,0.768,1.008,0.231,3.124,,0.298,,1,0.229,2.41,0.552,1.729,0.396,1.876,0.43,0.606,0.139,0.519,0.119,0.087,0.02
Vítor Oliveira,Sporting Braga,Primeira Liga,2022,22,Forward,FW,6,446,2,0.404,2.737,0.552,2.737,0.552,2.134,,0.964,,0,,0.479,0.097,0.478,0.096,1.694,0.342,0.012,0.002,0.046,0.009,-0.034,-0.007
Welinton Júnior,Portimonense,Primeira Liga,2022,29,Forward,WAM,6,539,2,0.334,2.979,0.497,2.979,0.497,2.322,,0.617,,0,,0.212,0.035,0.207,0.035,1.671,0.279,0.247,0.041,0.159,0.027,0.088,0.015
Marcus Edwards,Sporting CP,Primeira Liga,2022,23,Forward,CAM,6,389,2,0.463,1.221,0.282,1.221,0.282,1.562,,0.531,,2,0.463,1.1,0.255,0.978,0.226,1.652,0.382,0.707,0.164,0.429,0.099,0.279,0.064
Ruben Lameiras,Vitória Guimarães,Primeira Liga,2022,27,Midfielder,WAM,6,522,0,,0.867,0.149,0.867,0.149,0.215,,0.093,,0,,1.372,0.236,1.118,0.193,1.609,0.277,0.687,0.118,0.438,0.076,0.249,0.043
Simon Banza,Sporting Braga,Primeira Liga,2022,26,Forward,FW,6,472,5,0.953,2.834,0.54,2.834,0.54,3.249,,0.945,,1,0.191,0.368,0.07,0.368,0.07,1.584,0.302,0.088,0.017,0.016,0.003,0.071,0.014
Juan Delgado,Paços de Ferreira,Primeira Liga,2022,29,Forward,WAM,6,540,0,,0.266,0.044,0.266,0.044,0.196,,0.037,,1,0.167,1.353,0.225,1.343,0.224,1.501,0.25,0.936,0.156,0.681,0.114,0.254,0.042
Joel Tagueu,Marítimo,Primeira Liga,2022,28,Forward,FW,6,517,1,0.174,3,0.522,2.219,0.386,1.549,,0.665,,0,,0.218,0.038,0.218,0.038,1.495,0.26,-0.066,-0.011,-0.148,-0.026,0.082,0.014
Matheus Babi,Santa Clara,Primeira Liga,2022,25,Forward,FW,3,171,1,0.526,1.924,1.013,1.924,1.013,0.867,,0.356,,0,,0.025,0.013,0.025,0.013,1.493,0.786,0.102,0.054,0.043,0.022,0.059,0.031
Saviour Godwin,Casa Pia,Primeira Liga,2022,26,Forward,WAM,6,510,2,0.353,1.178,0.208,1.178,0.208,2.35,,1.314,,0,,0.872,0.154,0.872,0.154,1.415,0.25,0.682,0.12,0.257,0.045,0.424,0.075
Pedro Porro,Sporting CP,Primeira Liga,2022,22,Defender,WAM,5,358,0,,0.448,0.113,0.448,0.113,0.031,,-0.024,,2,0.503,1.296,0.326,1.285,0.323,1.403,0.353,0.716,0.18,0.523,0.132,0.193,0.048
