Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Ignacio Pussetto,Sampdoria,Serie A,2022,26,Forward,FW,1,11,0,,,,,,,,,,0,,0.111,0.907,0.111,0.907,0.067,0.545,0.002,0.015,0.002,0.015,,
Simon Kjaer,Milan,Serie A,2022,33,Defender,CB,3,176,0,,,,,,,,,,0,,0.073,0.037,0.073,0.037,0.067,0.034,0.179,0.091,0.163,0.083,0.015,0.008
Marlon Santos,Monza,Serie A,2022,27,Defender,CB,5,450,0,,0.056,0.011,0.056,0.011,,,,,0,,0.082,0.016,0.081,0.016,0.066,0.013,0.3,0.06,0.26,0.052,0.04,0.008
Demba Seck,Torino,Serie A,2022,21,Forward,WAM,3,152,0,,0.136,0.081,0.136,0.081,,,,,0,,0.032,0.019,0.032,0.019,0.066,0.039,0.13,0.077,0.002,0.001,0.128,0.076
Panagiotis Retsos,Verona,Serie A,2022,24,Defender,CB,2,122,0,,0.06,0.044,0.06,0.044,,,,,0,,0.008,0.006,0.007,0.005,0.064,0.047,0.049,0.036,0.043,0.032,0.006,0.005
Viktor Kovalenko,Spezia,Serie A,2022,26,Midfielder,CAM,5,195,0,,0.231,0.107,0.231,0.107,,,,,0,,0.095,0.044,0.095,0.044,0.064,0.029,0.06,0.027,0.066,0.031,-0.007,-0.003
Marco Benassi,Fiorentina,Serie A,2022,28,Midfielder,CM,2,93,0,,,,,,,,,,0,,0.087,0.084,0.086,0.083,0.062,0.06,0.206,0.2,0.182,0.176,0.024,0.023
Adama Soumaoro,Bologna,Serie A,2022,30,Defender,CB,4,315,0,,0.101,0.029,0.101,0.029,,,,,0,,0.044,0.013,0.044,0.013,0.062,0.018,0.136,0.039,0.102,0.029,0.034,0.01
Weston McKennie,Juventus,Serie A,2022,24,Midfielder,DMC,5,326,0,,0.1,0.028,0.1,0.028,,,,,0,,0.126,0.035,0.126,0.035,0.058,0.016,0.224,0.062,0.011,0.003,0.213,0.059
Samuel Di Carmine,Cremonese,Serie A,2022,,,,2,26,0,,0.068,0.235,0.068,0.235,,,,,0,,0.008,0.028,0.008,0.028,0.057,0.198,-0.019,-0.067,0.005,0.018,-0.025,-0.085
Szymon Zurkowski,Fiorentina,Serie A,2022,24,Midfielder,CM,2,30,0,,0.105,0.315,0.105,0.315,0.095,,0.021,,1,3,0.016,0.048,0.016,0.048,0.057,0.171,0.006,0.017,-0.015,-0.046,0.021,0.063
Adam Ounas,Napoli,Serie A,2022,25,Midfielder,WAM,2,13,0,,0.043,0.295,0.043,0.295,,,,,0,,0.014,0.097,0.014,0.097,0.055,0.378,0.059,0.41,0.037,0.254,0.023,0.156
Fikayo Tomori,Milan,Serie A,2022,24,Defender,CB,6,474,0,,,,,,,,,,0,,0.078,0.015,0.078,0.015,0.055,0.01,0.382,0.073,0.276,0.052,0.106,0.02
Nicolas Haas,Empoli,Serie A,2022,26,Midfielder,CM,5,245,0,,0.029,0.011,0.029,0.011,0.015,,-0.014,,0,,0.081,0.03,0.081,0.03,0.053,0.02,0.081,0.03,0.125,0.046,-0.043,-0.016
Daniele Verde,Spezia,Serie A,2022,26,Forward,WAM,2,85,0,,,,,,,,,,0,,0.098,0.104,0.098,0.104,0.053,0.056,0.05,0.053,0.049,0.052,0.001,0.001
Luca Marrone,Monza,Serie A,2022,32,Defender,DMC,2,135,0,,0.05,0.033,0.05,0.033,,,,,0,,0.007,0.005,0.007,0.005,0.053,0.035,0.066,0.044,0.058,0.039,0.008,0.005
Diego Coppola,Verona,Serie A,2022,18,Defender,CB,5,450,0,,0.157,0.031,0.157,0.031,,,,,0,,0.049,0.01,0.041,0.008,0.052,0.01,0.231,0.046,0.208,0.042,0.023,0.005
Lorenzo Montipò,Verona,Serie A,2022,26,Goalkeeper,GK,6,540,0,,,,,,,8.752,,-0.257,0,,0.067,0.011,0.058,0.01,0.052,0.009,0.208,0.035,0.204,0.034,0.004,0.001
Alberto Grassi,Empoli,Serie A,2022,27,Midfielder,CM,5,170,0,,0.018,0.009,0.018,0.009,,,,,0,,0.052,0.027,0.05,0.027,0.049,0.026,0.018,0.009,0.022,0.012,-0.004,-0.002
Emirhan Ilkhan,Torino,Serie A,2022,18,Midfielder,CM,3,87,0,,0.039,0.04,0.039,0.04,0.517,,,,0,,0.024,0.025,0.024,0.025,0.048,0.05,0.014,0.014,0.048,0.049,-0.034,-0.035
Nicola Zalewski,Roma,Serie A,2022,20,Forward,CAM,4,153,0,,,,,,,,,,0,,0.067,0.04,0.066,0.039,0.048,0.028,0.194,0.114,0.094,0.056,0.1,0.059
Gonzalo Villar,Sampdoria,Serie A,2022,24,Midfielder,CM,5,203,0,,,,,,,,,,0,,0.079,0.035,0.079,0.035,0.044,0.02,0.095,0.042,0.057,0.025,0.038,0.017
Igor Julio,Fiorentina,Serie A,2022,24,Defender,CB,4,290,0,,0.022,0.007,0.022,0.007,,,,,0,,0.063,0.02,0.063,0.02,0.044,0.014,0.332,0.103,0.19,0.059,0.142,0.044
Dimitrios Nikolaou,Spezia,Serie A,2022,24,Defender,CB,6,540,0,,,,,,,,,,0,,0.115,0.019,0.115,0.019,0.044,0.007,0.343,0.057,0.263,0.044,0.08,0.013
Koray Günter,Verona,Serie A,2022,28,Defender,CB,4,315,0,,0.095,0.027,0.095,0.027,,,,,1,0.286,0.061,0.018,0.06,0.017,0.041,0.012,0.196,0.056,0.167,0.048,0.029,0.008
Andrea Barberis,Monza,Serie A,2022,28,Midfielder,CM,2,180,0,,0.063,0.032,0.063,0.032,,,,,0,,0.072,0.036,0.072,0.036,0.041,0.02,0.066,0.033,0.047,0.023,0.02,0.01
Alessandro Cortinovis,Verona,Serie A,2022,21,Midfielder,CAM,1,6,0,,,,,,,,,,0,,0.047,0.703,0.047,0.703,0.04,0.607,0.004,0.06,0.003,0.038,0.001,0.022
Norbert Gyömbér,Salernitana,Serie A,2022,30,Defender,CB,6,410,0,,,,,,,,,,0,,0.061,0.013,0.05,0.011,0.04,0.009,0.191,0.042,0.167,0.037,0.024,0.005
Kristijan Bistrovic,Lecce,Serie A,2022,24,Midfielder,DMC,5,346,0,,0.2,0.052,0.2,0.052,0.195,,0.101,,0,,0.164,0.043,0.055,0.014,0.039,0.01,0.025,0.006,0.019,0.005,0.005,0.001
Emil Audero,Sampdoria,Serie A,2022,25,Goalkeeper,GK,6,540,0,,,,,,,8.779,,-0.139,0,,0.057,0.009,0.046,0.008,0.038,0.006,0.16,0.027,0.151,0.025,0.009,0.001
Jhon Lucumí,Bologna,Serie A,2022,24,Defender,CB,4,360,0,,0.02,0.005,0.02,0.005,,,,,0,,0.041,0.01,0.034,0.008,0.037,0.009,0.147,0.037,0.123,0.031,0.024,0.006
Bartlomiej Dragowski,Spezia,Serie A,2022,25,Goalkeeper,GK,6,540,0,,,,,,,9.695,,-0.031,0,,0.047,0.008,0.042,0.007,0.036,0.006,0.168,0.028,0.16,0.027,0.009,0.001
Agustín Álvarez Martínez,Sassuolo,Serie A,2022,21,Forward,FW,3,15,0,,0.032,0.192,0.032,0.192,,,,,0,,0.003,0.021,0.003,0.021,0.035,0.211,-0.015,-0.093,-0.014,-0.083,-0.002,-0.01
Jacopo Sala,Spezia,Serie A,2022,30,Defender,FB,6,108,0,,,,,,,,,,0,,0.074,0.062,0.055,0.046,0.035,0.029,0.117,0.097,0.1,0.084,0.017,0.014
Francesco Caputo,Sampdoria,Serie A,2022,35,Forward,FW,6,412,1,0.218,0.821,0.179,0.821,0.179,0.68,,0.452,,0,,0.454,0.099,0.454,0.099,0.035,0.008,-0.042,-0.009,-0.23,-0.05,0.188,0.041
Alex Ferrari,Sampdoria,Serie A,2022,28,Defender,CB,6,466,0,,0.034,0.007,0.034,0.007,,,,,0,,0.095,0.018,0.094,0.018,0.034,0.007,0.28,0.054,0.221,0.043,0.059,0.011
Divock Origi,Milan,Serie A,2022,27,Forward,FW,3,47,0,,0.126,0.241,0.126,0.241,,,,,0,,0.001,0.002,0.001,0.002,0.033,0.064,-0.036,-0.069,-0.019,-0.037,-0.017,-0.033
Petko Hristov,Spezia,Serie A,2022,23,Defender,CB,5,268,0,,0.057,0.019,0.057,0.019,,,,,0,,0.059,0.02,0.055,0.019,0.033,0.011,0.169,0.057,0.125,0.042,0.044,0.015
Domagoj Bradaric,Salernitana,Serie A,2022,22,Defender,FB,3,107,0,,0.037,0.031,0.037,0.031,,,,,0,,0.049,0.041,0.048,0.04,0.033,0.027,0.148,0.124,0.102,0.085,0.046,0.039
Ivan Provedel,Lazio,Serie A,2022,28,Goalkeeper,GK,6,532,0,,,,,,,4.226,,0.054,0,,0.044,0.007,0.042,0.007,0.032,0.005,0.238,0.04,0.221,0.037,0.016,0.003
Alexis Blin,Lecce,Serie A,2022,25,Midfielder,DMC,4,198,0,,,,,,,,,,0,,0.052,0.023,0.051,0.023,0.032,0.015,0.169,0.077,0.123,0.056,0.046,0.021
Robin Gosens,Internazionale,Serie A,2022,28,Defender,FB,6,122,0,,,,,,,,,,0,,0.065,0.048,0.063,0.047,0.032,0.023,0.08,0.059,0.052,0.038,0.028,0.02
Patrick Ciurria,Monza,Serie A,2022,27,Forward,WAM,4,96,0,,0.093,0.088,0.093,0.088,0.016,,-0.01,,0,,0.038,0.036,0.037,0.035,0.031,0.029,-0.074,-0.069,0.005,0.005,-0.079,-0.074
Andrea Consigli,Sassuolo,Serie A,2022,35,Goalkeeper,GK,6,540,0,,,,,,,5.298,,-0.51,0,,0.042,0.007,0.039,0.007,0.03,0.005,0.134,0.022,0.124,0.021,0.01,0.002
Milan Skriniar,Internazionale,Serie A,2022,27,Defender,CB,6,538,0,,0.125,0.021,0.125,0.021,0.081,,0.023,,0,,0.159,0.027,0.158,0.026,0.029,0.005,0.457,0.077,0.404,0.068,0.054,0.009
Lorenzo Colombo,Lecce,Serie A,2022,20,Forward,FW,6,170,1,0.529,0.983,0.521,0.202,0.107,1.423,,0.524,,0,,0.029,0.015,0.029,0.015,0.028,0.015,-0.158,-0.084,-0.021,-0.011,-0.137,-0.072
Kaan Ayhan,Sassuolo,Serie A,2022,27,Defender,CB,4,151,0,,0.015,0.009,0.015,0.009,0.021,,0.006,,0,,0.027,0.016,0.026,0.016,0.028,0.017,0.144,0.086,0.097,0.058,0.047,0.028
Nicolò Cambiaghi,Empoli,Serie A,2022,21,Forward,WAM,3,70,0,,0.035,0.045,0.035,0.045,,,,,0,,0.01,0.012,0.009,0.012,0.027,0.035,-0.01,-0.013,-0.003,-0.004,-0.007,-0.009
Mike Maignan,Milan,Serie A,2022,27,Goalkeeper,GK,6,540,0,,,,,,,5.399,,-0.111,0,,0.036,0.006,0.036,0.006,0.027,0.004,0.197,0.033,0.179,0.03,0.018,0.003
Wladimiro Falcone,Lecce,Serie A,2022,27,Goalkeeper,GK,6,540,0,,,,,,,6.178,,-0.133,0,,0.033,0.005,0.032,0.005,0.026,0.004,0.089,0.015,0.084,0.014,0.005,0.001
