,teamName,teamId,opponent,matchId,startDate,h_a,xG,xT,xGA,xTA,xGD,xTD
0,Arsenal,13,Crystal Palace,1640674,2022-08-05,a,0.9059067014446887,0.859160350440117,1.139582409033567,0.8642246645682392,-0.23367570758887823,-0.005064314128122249
1,Arsenal,13,Leicester,1640684,2022-08-13,h,2.1925962971242305,1.264039462235945,0.6425608893656967,0.42605789856841797,1.5500354077585339,0.837981563667527
2,Arsenal,13,Bournemouth,1640694,2022-08-20,a,1.2597379562874402,0.8235768610089518,0.2682192776541635,0.872813022319924,0.9915186786332768,-0.04923616131097219
3,Arsenal,13,Fulham,1640704,2022-08-27,h,2.391403174565906,1.4654022935947966,1.089936118315129,1.008080397662834,1.301467056250777,0.4573218959319625
4,Arsenal,13,Aston Villa,1640714,2022-08-31,h,2.9928007962675665,1.8102106008521046,0.33210982672663114,0.46423440976414826,2.6606909695409353,1.3459761910879564
5,Arsenal,13,Man Utd,1640729,2022-09-04,a,1.1953431248316364,1.5728635869119099,0.9921352209680361,0.8317485622216574,0.20320790386360033,0.7411150246902525
6,Arsenal,13,Brentford,1640745,2022-09-18,a,1.1599859372114638,0.8137556823149198,0.38498577437452064,1.0023422013639234,0.7750001628369432,-0.1885865190490036
7,Arsenal,13,Tottenham,1640754,2022-10-01,h,2.2328804751514952,1.8812547799400443,1.2701049784650278,0.4483052189345798,0.9627754966864674,1.4329495610054646
8,Arsenal,13,Liverpool,1640764,2022-10-09,h,2.7461037226369576,1.1292013705141837,0.5905837152831528,0.5923525730654973,2.155520007353805,0.5368487974486864
9,Arsenal,13,Leeds,1640777,2022-10-16,a,0.6210327313432901,0.7519459359946428,2.1885926692215696,0.8745572637023582,-1.5675599378782796,-0.12261132770771543
10,Arsenal,13,Southampton,1640800,2022-10-23,a,1.0111404894125646,1.0544937953703402,0.303073525246638,0.5171016264626109,0.7080669641659266,0.5373921689077292
11,Arsenal,13,Nottingham Forest,1640804,2022-10-30,h,2.747552282045685,1.654498807241481,0.3306190090735543,0.4443695246778607,2.4169332729721305,1.2101292825636203
12,Arsenal,13,Chelsea,1640815,2022-11-06,a,1.5143273422393935,1.2762795706122478,0.24411021378328662,0.5887542223076373,1.2702171284561068,0.6875253483046105
13,Arsenal,13,Wolves,1640833,2022-11-12,a,1.8751173488291948,1.2557059223908134,0.21079005985455873,0.5325315434249566,1.664327288974636,0.7231743789658568
14,Arsenal,13,West Ham,1640834,2022-12-26,h,1.2735520732558712,1.3640274301791033,0.9388250493059661,0.41316552311778737,0.33472702394990506,0.950861907061316
15,Arsenal,13,Brighton,1640845,2022-12-31,a,2.4790523322746063,0.7995465634565041,1.2900528504043727,0.9979328407822541,1.1889994818702336,-0.19838627732574998
16,Arsenal,13,Newcastle,1640854,2023-01-03,h,1.2606428384484798,1.196559562204667,0.9501682279187932,1.2187026934226262,0.3104746105296866,-0.02214313121795919
17,Arsenal,13,Tottenham,1640872,2023-01-15,a,1.3808181235464991,1.1115963797452932,1.1557278650905052,0.931343373294457,0.22509025845599395,0.1802530064508362
18,Arsenal,13,Man Utd,1640876,2023-01-22,h,3.461386814852349,1.4446619629786537,0.27693742266555965,0.27402892213261304,3.184449392186789,1.1706330408460406
19,Arsenal,13,Everton,1640904,2023-02-04,a,0.7694490437165479,0.8760976790558116,1.2724090939180135,1.8569810581142632,-0.5029600502014656,-0.9808833790584516
20,Arsenal,13,Brentford,1640916,2023-02-11,h,1.097160812644741,1.6830842222324496,1.5926308990046212,1.600619615732368,-0.4954700863598802,0.08246460650008158
21,Arsenal,13,Man City,1640784,2023-02-15,h,1.5355123025017234,1.0679610114617908,1.4257152506515043,0.7910244950463444,0.10979705185021915,0.27693651641544637
22,Arsenal,13,Aston Villa,1640936,2023-02-18,a,2.3600154001032987,1.6467688095707176,0.29289951545306764,0.4214826865213557,2.067115884650231,1.225286123049362
23,Arsenal,13,Leicester,1640966,2023-02-25,a,0.4199964944225512,0.8901613081550613,0.01460170757386615,0.4812382376938575,0.4053947868486851,0.40892307046120385
24,Arsenal,13,Everton,1640734,2023-03-01,h,2.449652000001776,1.3818523889398309,1.2888633877183029,0.5375377399375503,1.160788612283473,0.8443146490022806
25,Arsenal,13,Bournemouth,1640875,2023-03-04,h,2.1234866547708062,1.9654915874236385,0.9485241542442523,0.6024599586635885,1.1749625005265538,1.3630316287600501
26,Arsenal,13,Fulham,1640901,2023-03-12,a,2.148981036743606,1.3065160743702784,0.7335070062498474,0.8047701654401923,1.4154740304937585,0.5017459089300861
27,Arsenal,13,Crystal Palace,1640915,2023-03-19,h,1.562162656224129,1.5970908395299284,0.7712211178786432,0.652509064326789,0.7909415383454859,0.9445817752031394
28,Arsenal,13,Leeds,1640935,2023-04-01,h,2.9247262629723094,1.6239811227635887,0.7659539037445607,0.5435708834078448,2.158772359227749,1.080410239355744
29,Arsenal,13,Liverpool,1640965,2023-04-09,a,1.1333093798744815,1.1387845054021282,3.315953931817673,2.1698292670746095,-2.1826445519431914,-1.0310447616724814
30,Arsenal,13,West Ham,1640982,2023-04-16,a,2.296610011375142,1.4120238087464638,1.6892721702718614,1.0740680981844217,0.6073378411032806,0.3379557105620421
31,Arsenal,13,Southampton,1640988,2023-04-21,h,2.893338804707401,2.43078411639496,0.8009002384000491,0.6101109349855556,2.092438566307352,1.8206731814094044
32,Arsenal,13,Man City,1641024,2023-04-26,a,0.6237710465939059,0.39559023642731256,1.433106829687261,0.5935162464181293,-0.8093357830933552,-0.19792600999081672
