,teamName,teamId,opponent,matchId,startDate,h_a,xG,xT,xGA,xTA,xGD,xTD
0,Wolves,161,Leeds,1640677,2022-08-06,a,1.1818345367131957,1.4500327155402906,0.6933659459601142,1.1294047958711029,0.48846859075308147,0.3206279196691877
1,Wolves,161,Fulham,1640693,2022-08-13,h,0.7574640633501958,0.6301748483088865,1.4461345658329203,0.5665601931746459,-0.6886705024827245,0.06361465513424058
2,Wolves,161,Tottenham,1640702,2022-08-20,a,0.8360125658586559,0.6820531268606141,1.680681519352354,1.4147017050562807,-0.8446689534936982,-0.7326485781956665
3,Wolves,161,Newcastle,1640713,2022-08-28,h,0.8246130052379135,0.6593360020666458,1.8192415130510908,1.60700225925562,-0.9946285078131774,-0.9476662571889741
4,Wolves,161,Bournemouth,1640715,2022-08-31,a,1.1883721335296324,1.9469892376124844,0.5967643587326197,0.9158009691134062,0.5916077747970128,1.0311882684990783
5,Wolves,161,Southampton,1640733,2022-09-03,h,0.6212922960054749,1.1070176478152782,1.3428324593163303,1.418018817869768,-0.7215401633108555,-0.3110011700544897
6,Wolves,161,Man City,1640753,2022-09-17,h,0.2455810865297764,0.5465147539934827,1.7736101906221535,1.2848443350144065,-1.528029104092377,-0.7383295810209238
7,Wolves,161,West Ham,1640763,2022-10-01,a,0.7392120686874522,0.8292710165395561,0.7658272753162044,0.604765053882531,-0.026615206628752275,0.22450596265702516
8,Wolves,161,Chelsea,1640767,2022-10-08,a,0.8540519025098682,0.9680633114908301,1.789570642688593,1.4760118143627692,-0.9355187401787247,-0.507948502871939
9,Wolves,161,Nottingham Forest,1640783,2022-10-15,h,1.302084635232319,0.8117227228467803,1.3672478791682485,0.7652727403393708,-0.06516324393592954,0.046449982507409504
10,Wolves,161,Crystal Palace,1640790,2022-10-18,a,0.92218499821384,0.7624108374490937,1.212460540119866,1.389911799097971,-0.290275541906026,-0.6275009616488774
11,Wolves,161,Leicester,1640803,2022-10-23,h,2.0071437466335356,1.7737365475795532,0.7104890870699873,1.0627146578451419,1.2966546595635484,0.7110218897344114
12,Wolves,161,Brentford,1640806,2022-10-29,a,0.7389657337597436,0.5476241707439652,1.4793566329977748,1.3574084590839341,-0.7403908992380311,-0.809784288339969
13,Wolves,161,Brighton,1640823,2022-11-05,h,1.1438267110472822,0.4877389894426481,2.0328726785621947,1.7990636243990312,-0.8890459675149125,-1.3113246349563832
14,Wolves,161,Arsenal,1640833,2022-11-12,h,0.21079005985455873,0.5325315434249566,1.8751173488291948,1.2557059223908134,-1.664327288974636,-0.7231743789658568
15,Wolves,161,Everton,1640839,2022-12-26,a,0.7286923135983159,0.5694079745024906,1.00860395878351,0.7713831182250196,-0.2799116451851942,-0.201975143722529
16,Wolves,161,Man Utd,1640853,2022-12-31,h,0.783965901040822,0.7341438888315561,2.0084788000715865,1.206099237383456,-1.2245128990307645,-0.4719553485518999
17,Wolves,161,Aston Villa,1640855,2023-01-04,a,0.7686037405399722,0.7982866413257845,0.6878456615216867,0.6624752148212474,0.08075807901828547,0.13581142650453715
