Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Manfred Ugalde,FC Twente,Eredivise,2022,20,Forward,FW,4,190,0,,0.385,0.182,0.385,0.182,0.085,,-0.037,,0,,0.105,0.05,0.105,0.05,0.313,0.148,0.15,0.071,0.101,0.048,0.049,0.023
Isak Määttä,FC Groningen,Eredivise,2022,20,Defender,CB,5,372,0,,,,,,,,,,0,,0.335,0.081,0.331,0.08,0.308,0.075,0.33,0.08,0.22,0.053,0.11,0.027
Hidde ter Avest,FC Utrecht,Eredivise,2022,25,Defender,FB,5,403,0,,0.052,0.012,0.052,0.012,0.168,,0.116,,0,,0.35,0.078,0.343,0.077,0.304,0.068,0.373,0.083,0.267,0.06,0.105,0.024
Robin Maulun,SC Cambuur,Eredivise,2022,25,Midfielder,CAM,2,180,0,,0.127,0.064,0.127,0.064,0.318,,0.246,,0,,0.757,0.379,0.396,0.198,0.304,0.152,0.214,0.107,0.146,0.073,0.068,0.034
Lutsharel Geertruida,Feyenoord,Eredivise,2022,22,Defender,CB,4,360,1,0.25,0.481,0.12,0.481,0.12,0.424,,-0.057,,0,,0.265,0.066,0.259,0.065,0.291,0.073,0.356,0.089,0.27,0.067,0.087,0.022
Paulos Abraham,FC Groningen,Eredivise,2022,20,Forward,WAM,4,204,0,,0.268,0.118,0.268,0.118,0.804,,0.609,,0,,0.131,0.058,0.131,0.058,0.289,0.128,0.231,0.102,0.047,0.021,0.184,0.081
Keziah Veendorp,FC Emmen,Eredivise,2022,25,Defender,CB,5,450,0,,0.062,0.012,0.062,0.012,0.09,,0.028,,0,,0.309,0.062,0.305,0.061,0.284,0.057,0.461,0.092,0.393,0.079,0.068,0.014
Deroy Duarte,Fortuna Sittard,Eredivise,2022,23,Midfielder,CAM,5,450,0,,0.016,0.003,0.016,0.003,,,,,1,0.2,0.337,0.067,0.337,0.067,0.282,0.056,0.404,0.081,0.388,0.078,0.015,0.003
Jurriën Timber,Ajax,Eredivise,2022,21,Defender,CB,5,435,0,,0.342,0.071,0.342,0.071,0.028,,-0.001,,0,,0.203,0.042,0.203,0.042,0.278,0.058,0.573,0.118,0.46,0.095,0.112,0.023
Siebe Horemans,Excelsior Rotterdam,Eredivise,2022,24,Defender,CB,5,450,1,0.2,0.516,0.103,0.516,0.103,0.912,,0.466,,1,0.2,0.076,0.015,0.051,0.01,0.275,0.055,0.326,0.065,0.256,0.051,0.07,0.014
Dogan Erdogan,Fortuna Sittard,Eredivise,2022,26,Midfielder,DMC,5,269,0,,0.014,0.005,0.014,0.005,,,,,0,,0.281,0.094,0.281,0.094,0.269,0.09,0.142,0.048,0.118,0.04,0.024,0.008
Mickael Tirpan,Fortuna Sittard,Eredivise,2022,28,Defender,FB,5,386,0,,0.087,0.02,0.087,0.02,,,,,0,,0.31,0.072,0.307,0.072,0.269,0.063,0.282,0.066,0.217,0.051,0.065,0.015
Laros Duarte,FC Groningen,Eredivise,2022,25,Midfielder,DMC,5,434,1,0.207,0.219,0.045,0.219,0.045,0.423,,0.327,,0,,0.446,0.092,0.269,0.056,0.261,0.054,0.28,0.058,0.188,0.039,0.093,0.019
Rami Kaib,sc Heerenveen,Eredivise,2022,25,Defender,FB,5,117,0,,0.013,0.01,0.013,0.01,,,,,0,,0.355,0.273,0.31,0.238,0.258,0.198,0.152,0.117,0.147,0.113,0.005,0.004
Phillipp Mwene,PSV,Eredivise,2022,28,Defender,FB,3,215,0,,0.12,0.05,0.12,0.05,0.15,,0.043,,1,0.419,0.239,0.1,0.236,0.099,0.258,0.108,0.127,0.053,0.128,0.054,-0.001,-0.001
Yassin Oukili,RKC Waalwijk,Eredivise,2022,21,Midfielder,CM,5,323,0,,0.351,0.098,0.351,0.098,0.627,,0.506,,0,,0.082,0.023,0.082,0.023,0.256,0.071,0.092,0.026,0.051,0.014,0.042,0.012
Jacob Rasmussen,Feyenoord,Eredivise,2022,25,Defender,CB,5,365,1,0.247,0.405,0.1,0.405,0.1,0.678,,0.306,,0,,0.132,0.032,0.13,0.032,0.256,0.063,0.381,0.094,0.302,0.075,0.078,0.019
Calvin Verdonk,N.E.C.,Eredivise,2022,25,Defender,FB,3,90,0,,0.359,0.359,0.359,0.359,0.44,,0.094,,0,,0.072,0.072,0.069,0.069,0.255,0.255,0.118,0.118,0.112,0.112,0.006,0.006
