Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Bartol Franjic,VfL Wolfsburg,Bundesliga,2022,22,Midfielder,CM,1,74,0,,,,,,,,,,1,1.216,0.018,0.022,0.018,0.022,0.013,0.016,0.038,0.046,0.034,0.041,0.004,0.005
Péter Gulácsi,RB Leipzig,Bundesliga,2022,32,Goalkeeper,GK,3,270,0,,,,,,,6.985,,0.141,0,,0.015,0.005,0.015,0.005,0.01,0.003,0.048,0.016,0.049,0.016,-0.001,0
Daniel-Kofi Kyereh,Sport-Club Freiburg,Bundesliga,2022,26,Midfielder,FW,3,28,0,,,,,,,,,,0,,0.011,0.035,0.011,0.035,0.009,0.028,0.018,0.058,0.015,0.047,0.004,0.011
Steffen Tigges,1. FC Köln,Bundesliga,2022,24,Forward,WAM,2,135,0,,0.048,0.032,0.048,0.032,,,,,0,,0.096,0.064,0.096,0.064,0.008,0.005,0.075,0.05,0.134,0.089,-0.059,-0.039
Lee Buchanan,SV Werder Bremen,Bundesliga,2022,21,Defender,CM,4,72,1,1.25,0.19,0.237,0.19,0.237,0.715,,0.632,,0,,0.033,0.041,0.032,0.04,0.008,0.01,0.04,0.05,0.029,0.036,0.011,0.014
Luca Pellegrini,Eintracht Frankfurt,Bundesliga,2022,23,Defender,FB,2,144,0,,0.049,0.03,0.049,0.03,,,,,0,,0.086,0.054,0.011,0.007,0.007,0.005,0.106,0.066,0.086,0.054,0.02,0.012
Manuel Neuer,FC Bayern München,Bundesliga,2022,36,Goalkeeper,GK,5,450,0,,,,,,,3.353,,0.105,0,,0.016,0.003,0.015,0.003,0.007,0.001,0.118,0.024,0.109,0.022,0.009,0.002
Emre Can,Borussia Dortmund,Bundesliga,2022,28,Midfielder,CM,2,78,0,,,,,,,,,,0,,0.009,0.01,0.009,0.01,0.006,0.007,0.014,0.016,0.01,0.011,0.004,0.005
Kevin Trapp,Eintracht Frankfurt,Bundesliga,2022,32,Goalkeeper,GK,5,450,0,,,,,,,5.765,,-0.908,0,,0.017,0.003,0.011,0.002,0.006,0.001,0.068,0.014,0.066,0.013,0.002,0
Christopher Antwi-Adjei,VfL Bochum 1848,Bundesliga,2022,28,Forward,WAM,1,19,0,,0.047,0.223,0.047,0.223,,,,,0,,0.014,0.065,0.014,0.065,0.006,0.029,0.04,0.19,0.019,0.09,0.021,0.1
