Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Oier Zarraga,Athletic Club,La Liga,2022,23,Midfielder,CM,2,59,0,,0.068,0.104,0.068,0.104,,,,,0,,0.142,0.217,0.142,0.217,0.117,0.178,0.083,0.127,0.02,0.031,0.063,0.096
Hugo Guillamón,Valencia CF,La Liga,2022,22,Defender,CB,4,324,0,,,,,,,,,,0,,0.188,0.052,0.184,0.051,0.114,0.032,0.355,0.099,0.324,0.09,0.031,0.009
Óscar Trejo,Rayo Vallecano,La Liga,2022,34,Midfielder,CAM,4,288,0,,0.027,0.009,0.027,0.009,,,,,0,,0.145,0.045,0.145,0.045,0.111,0.035,0.053,0.017,0.038,0.012,0.015,0.005
Andoni Gorosabel,Real Sociedad,La Liga,2022,26,Defender,FB,3,183,0,,0.097,0.048,0.097,0.048,,,,,0,,0.061,0.03,0.059,0.029,0.109,0.054,0.145,0.072,0.101,0.05,0.044,0.022
Antonio Sánchez,Mallorca,La Liga,2022,25,Midfielder,CM,4,134,0,,0.082,0.055,0.082,0.055,0.279,,0.209,,0,,0.049,0.033,0.049,0.033,0.109,0.073,0.068,0.046,0.023,0.015,0.046,0.031
Kike García,Osasuna,La Liga,2022,32,Forward,FW,4,71,1,1.268,0.896,1.136,0.114,0.145,0.889,,0.087,,0,,0.024,0.031,0.024,0.031,0.109,0.138,0.008,0.01,-0.022,-0.028,0.03,0.038
Ante Budimir,Osasuna,La Liga,2022,31,Forward,FW,3,174,0,,0.501,0.259,0.501,0.259,0.598,,0.286,,0,,0.124,0.064,0.124,0.064,0.107,0.055,0.032,0.017,0.013,0.007,0.02,0.01
Aihen Muñoz,Real Sociedad,La Liga,2022,25,Defender,FB,4,279,0,,0.044,0.014,0.044,0.014,0.021,,-0.007,,0,,0.124,0.04,0.12,0.039,0.107,0.035,0.077,0.025,0.052,0.017,0.025,0.008
Santiago Arzamendia,Cádiz,La Liga,2022,24,Defender,FB,3,183,0,,0.072,0.035,0.072,0.035,0.029,,-0.021,,0,,0.057,0.028,0.056,0.027,0.105,0.052,0.072,0.036,0.045,0.022,0.028,0.014
Carlos Soler,Valencia CF,La Liga,2022,,,,3,243,1,0.37,0.896,0.332,0.114,0.042,0.91,,0.101,,0,,0.185,0.069,0.163,0.06,0.103,0.038,-0.11,-0.041,0.046,0.017,-0.156,-0.058
Raúl García,Athletic Club,La Liga,2022,36,Midfielder,CAM,4,77,0,,0.187,0.218,0.187,0.218,,,,,0,,0.1,0.117,0.1,0.117,0.1,0.117,0.028,0.033,0.016,0.018,0.013,0.015
Íñigo Lekue,Athletic Club,La Liga,2022,29,Defender,FB,2,172,0,,0.076,0.04,0.076,0.04,,,,,1,0.523,0.053,0.028,0.052,0.027,0.097,0.051,0.139,0.073,0.07,0.037,0.069,0.036
Aitor Ruibal,Real Betis,La Liga,2022,26,Forward,WAM,4,278,0,,0.034,0.011,0.034,0.011,,,,,0,,0.106,0.034,0.104,0.034,0.095,0.031,0.203,0.066,0.144,0.047,0.059,0.019
Ferran Torres,Barcelona,La Liga,2022,22,Forward,WAM,3,98,0,,0.339,0.311,0.339,0.311,,,,,0,,0.083,0.076,0.082,0.076,0.093,0.086,0.178,0.163,0.019,0.017,0.159,0.146
Pau Torres,Villarreal,La Liga,2022,25,Defender,CB,4,360,0,,0.178,0.045,0.178,0.045,,,,,0,,0.072,0.018,0.072,0.018,0.092,0.023,0.344,0.086,0.226,0.056,0.119,0.03
Yuri Berchiche,Athletic Club,La Liga,2022,32,Defender,FB,2,180,0,,0.103,0.051,0.103,0.051,0.047,,0.031,,0,,0.073,0.037,0.071,0.036,0.091,0.046,0.23,0.115,0.186,0.093,0.043,0.022
Luiz Henrique,Real Betis,La Liga,2022,21,Forward,FW,2,105,0,,0.102,0.087,0.102,0.087,,,,,0,,0.015,0.013,0.015,0.013,0.091,0.078,0.031,0.027,-0.003,-0.002,0.034,0.029
Radamel Falcao,Rayo Vallecano,La Liga,2022,36,Forward,FW,4,131,0,,0.6,0.412,0.6,0.412,,,,,0,,0.068,0.047,0.068,0.047,0.09,0.062,-0.019,-0.013,0.022,0.015,-0.04,-0.028
Brian Oliván,Espanyol,La Liga,2022,28,Defender,FB,4,347,0,,0.077,0.02,0.077,0.02,,,,,0,,0.197,0.051,0.19,0.049,0.09,0.023,0.354,0.092,0.31,0.08,0.044,0.011
Curro Sánchez,Almería,La Liga,2022,26,Midfielder,CAM,2,41,0,,0.081,0.177,0.081,0.177,0.058,,-0.022,,0,,0.133,0.291,0.008,0.019,0.087,0.19,0.021,0.047,0.006,0.014,0.015,0.034
Gerard Gumbau,Elche,La Liga,2022,27,Midfielder,DMC,4,244,0,,0.026,0.01,0.026,0.01,,,,,0,,0.439,0.162,0.1,0.037,0.086,0.032,0.111,0.041,0.075,0.028,0.037,0.014
Toni Lato,Valencia CF,La Liga,2022,24,Defender,FB,4,196,0,,0.039,0.018,0.039,0.018,0.205,,,,0,,0.118,0.054,0.117,0.054,0.084,0.039,0.209,0.096,0.166,0.076,0.043,0.02
Marco Asensio,Real Madrid,La Liga,2022,26,Forward,WAM,1,8,0,,0.093,1.044,0.093,1.044,,,,,0,,0,0.002,0,0.002,0.084,0.947,0.037,0.42,-0.002,-0.017,0.039,0.437
Omar Mascarell,Elche,La Liga,2022,29,Midfielder,DMC,4,348,0,,,,,,,,,,0,,0.133,0.034,0.132,0.034,0.084,0.022,0.151,0.039,0.142,0.037,0.009,0.002
Jesús Corona,Sevilla,La Liga,2022,29,Forward,WAM,1,63,0,,,,,,,,,,0,,0.14,0.2,0.14,0.2,0.083,0.118,-0.021,-0.03,-0.029,-0.042,0.008,0.012
Ramón Terrats,Girona,La Liga,2022,21,Midfielder,CM,3,127,0,,0.142,0.1,0.142,0.1,,,,,0,,0.018,0.013,0.018,0.013,0.081,0.057,-0.007,-0.005,-0.017,-0.012,0.01,0.007
Helibelton Palacios,Elche,La Liga,2022,29,Defender,FB,3,225,0,,0.081,0.032,0.081,0.032,0.069,,0.007,,0,,0.023,0.009,0.022,0.009,0.079,0.032,0.16,0.064,0.109,0.043,0.051,0.02
Giovani Lo Celso,Villarreal,La Liga,2022,26,Midfielder,CAM,3,218,1,0.413,0.213,0.088,0.213,0.088,0.817,,0.638,,0,,0.181,0.075,0.181,0.075,0.078,0.032,0.16,0.066,0.11,0.045,0.05,0.021
Samú Costa,Almería,La Liga,2022,21,Midfielder,DMC,3,270,0,,0.123,0.041,0.123,0.041,0.243,,0.153,,0,,0.07,0.023,0.07,0.023,0.077,0.026,0.094,0.031,0.079,0.026,0.015,0.005
Óliver Torres,Sevilla,La Liga,2022,27,Midfielder,CAM,2,137,1,0.657,0.083,0.054,0.083,0.054,0.153,,0.115,,0,,0.142,0.093,0.142,0.093,0.075,0.049,0.141,0.093,0.131,0.086,0.011,0.007
Alex Telles,Sevilla,La Liga,2022,29,Defender,FB,3,112,0,,0.023,0.018,0.023,0.018,,,,,1,0.804,0.106,0.085,0.105,0.084,0.075,0.06,0.055,0.044,0.071,0.057,-0.015,-0.012
Thomas Delaney,Sevilla,La Liga,2022,31,Midfielder,DMC,3,157,0,,0.055,0.032,0.055,0.032,0.153,,0.127,,0,,0.046,0.026,0.046,0.026,0.074,0.042,0.018,0.01,0.018,0.01,0,0
Dani Vivian,Athletic Club,La Liga,2022,23,Defender,CB,4,360,0,,0.03,0.008,0.03,0.008,0.022,,-0.009,,0,,0.119,0.03,0.114,0.028,0.073,0.018,0.533,0.133,0.396,0.099,0.137,0.034
Fran García,Rayo Vallecano,La Liga,2022,23,Defender,FB,4,359,0,,0.014,0.003,0.014,0.003,,,,,0,,0.085,0.021,0.081,0.02,0.069,0.017,0.201,0.05,0.013,0.003,0.188,0.047
Yeray Álvarez,Athletic Club,La Liga,2022,27,Defender,CB,4,360,0,,0.048,0.012,0.048,0.012,,,,,0,,0.244,0.061,0.234,0.059,0.067,0.017,0.356,0.089,0.26,0.065,0.096,0.024
Ferland Mendy,Real Madrid,La Liga,2022,27,Defender,FB,3,254,0,,,,,,,,,,0,,0.099,0.035,0.097,0.034,0.067,0.024,0.287,0.102,0.196,0.069,0.092,0.033
Domingos Quina,Elche,La Liga,2022,22,Midfielder,CAM,3,44,0,,0.094,0.192,0.094,0.192,,,,,0,,0.081,0.165,0.081,0.165,0.066,0.135,0.084,0.171,0.026,0.054,0.057,0.117
José Ángel Carmona,Sevilla,La Liga,2022,20,Defender,FB,2,77,0,,,,,,,,,,0,,0.075,0.088,0.075,0.088,0.064,0.074,0.035,0.041,0.008,0.01,0.027,0.031
Brian Ocampo,Cádiz,La Liga,2022,23,Forward,WAM,1,74,0,,,,,,,,,,0,,0.099,0.121,0.099,0.121,0.06,0.073,0.032,0.039,0.003,0.003,0.029,0.035
Joseph Aidoo,Celta de Vigo,La Liga,2022,26,Defender,CB,4,360,0,,0.049,0.012,0.049,0.012,,,,,0,,0.054,0.013,0.054,0.013,0.06,0.015,0.227,0.057,0.181,0.045,0.046,0.011
Vinicius Souza,Espanyol,La Liga,2022,23,Midfielder,CM,4,336,0,,0.05,0.013,0.05,0.013,0.021,,0.008,,0,,0.054,0.015,0.054,0.014,0.058,0.016,0.006,0.002,-0.019,-0.005,0.025,0.007
Gabriel Paulista,Valencia CF,La Liga,2022,31,Defender,CB,1,90,0,,0.052,0.052,0.052,0.052,,,,,0,,0.026,0.026,0.02,0.02,0.058,0.058,0.07,0.07,0.055,0.055,0.015,0.015
Eric García,Barcelona,La Liga,2022,21,Defender,CB,4,325,1,0.277,0.799,0.221,0.799,0.221,0.67,,0.064,,0,,0.068,0.019,0.062,0.017,0.055,0.015,0.336,0.093,0.254,0.07,0.082,0.023
Joan Jordán,Sevilla,La Liga,2022,28,Midfielder,CM,3,167,0,,0.052,0.028,0.052,0.028,,,,,0,,0.108,0.058,0.088,0.048,0.055,0.03,0.087,0.047,0.053,0.028,0.035,0.019
Toni Villa,Girona,La Liga,2022,27,Midfielder,WAM,3,116,0,,0.017,0.013,0.017,0.013,0.029,,0.012,,0,,0.053,0.041,0.053,0.041,0.054,0.042,0.081,0.063,0.035,0.027,0.046,0.036
Renato Tapia,Celta de Vigo,La Liga,2022,27,Midfielder,DMC,4,247,0,,0.018,0.007,0.018,0.007,0.012,,-0.006,,0,,0.075,0.027,0.074,0.027,0.049,0.018,0.122,0.044,0.083,0.03,0.039,0.014
Igor Zubeldia,Real Sociedad,La Liga,2022,25,Midfielder,DMC,4,312,0,,0.017,0.005,0.017,0.005,,,,,0,,0.042,0.012,0.041,0.012,0.049,0.014,0.254,0.073,0.21,0.06,0.044,0.013
Dyego Sousa,Almería,La Liga,2022,32,Forward,FW,2,28,0,,0.058,0.185,0.058,0.185,,,,,0,,0.007,0.024,0.007,0.024,0.049,0.159,0.085,0.274,0.01,0.032,0.075,0.242
Santiago Bueno,Girona,La Liga,2022,23,Defender,CB,4,360,0,,0.076,0.019,0.076,0.019,,,,,0,,0.046,0.011,0.045,0.011,0.048,0.012,0.316,0.079,0.237,0.059,0.079,0.02
Asier Illarramendi,Real Sociedad,La Liga,2022,32,Midfielder,DMC,2,24,0,,,,,,,,,,0,,0.052,0.194,0.052,0.194,0.048,0.179,-0.004,-0.015,0.002,0.007,-0.006,-0.022
Mamady Diarra,Cádiz,La Liga,2022,22,Forward,FW,2,66,0,,0.164,0.223,0.164,0.223,,,,,0,,0.001,0.001,0.001,0.001,0.048,0.065,0.049,0.066,-0.003,-0.004,0.051,0.07
Pierre-Emerick Aubameyang,Barcelona,La Liga,2022,,,,1,8,0,,0.062,0.7,0.062,0.7,,,,,0,,0,0.002,0,0.002,0.047,0.529,0.003,0.031,0.003,0.031,,
Djené Dakonam,Getafe,La Liga,2022,30,Defender,CB,4,299,0,,0.051,0.015,0.051,0.015,,,,,0,,0.013,0.004,0.012,0.004,0.046,0.014,0.121,0.037,0.083,0.025,0.038,0.012
Raúl Albiol,Villarreal,La Liga,2022,37,Defender,CB,4,360,0,,0.014,0.003,0.014,0.003,,,,,0,,0.067,0.017,0.067,0.017,0.046,0.011,0.351,0.088,0.22,0.055,0.131,0.033
Nico González,Valencia CF,La Liga,2022,20,Midfielder,CM,4,135,0,,,,,,,,,,0,,0.063,0.042,0.063,0.042,0.045,0.03,0.097,0.064,0.06,0.04,0.037,0.025
Chumi,Almería,La Liga,2022,23,Defender,CB,3,115,0,,0.072,0.057,0.072,0.057,,,,,0,,0.049,0.038,0.048,0.038,0.043,0.034,0.038,0.03,0.028,0.022,0.01,0.008
José Carlos Lazo,Espanyol,La Liga,2022,26,Midfielder,CAM,2,38,0,,0.061,0.144,0.061,0.144,0.009,,-0.009,,0,,0.008,0.019,0.008,0.019,0.042,0.099,-0.013,-0.031,-0.003,-0.008,-0.01,-0.023
Nahuel Molina,Atlético de Madrid,La Liga,2022,24,Defender,FB,2,179,0,,0.073,0.037,0.073,0.037,,,,,0,,0.037,0.019,0.036,0.018,0.042,0.021,0.091,0.046,0.039,0.019,0.052,0.026
Enzo Roco,Elche,La Liga,2022,30,Defender,CB,4,315,0,,0.037,0.011,0.037,0.011,,,,,0,,0.061,0.018,0.058,0.016,0.042,0.012,0.164,0.047,0.138,0.039,0.026,0.007
Luca de la Torre,Celta de Vigo,La Liga,2022,24,Midfielder,WAM,2,10,0,,,,,,,,,,0,,0.057,0.512,0.057,0.512,0.041,0.368,0.074,0.663,0.057,0.512,0.017,0.151
Kike Barja,Osasuna,La Liga,2022,25,Forward,WAM,2,69,0,,,,,,,,,,0,,0.054,0.071,0.054,0.071,0.041,0.053,0.033,0.043,0.013,0.017,0.02,0.026
Copete,Mallorca,La Liga,2022,22,Defender,CB,4,356,0,,,,,,,,,,0,,0.056,0.014,0.047,0.012,0.04,0.01,0.172,0.044,0.147,0.037,0.025,0.006
