Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Antonio Zarzana,Marítimo,Primeira Liga,2022,20,Midfielder,WAM,4,164,0,,0.149,0.082,0.149,0.082,0.049,,-0.019,,0,,0.194,0.106,0.194,0.106,0.28,0.154,0.139,0.076,0.022,0.012,0.117,0.064
Milutin Osmajic,Vizela,Primeira Liga,2022,23,Forward,FW,3,121,1,0.744,0.781,0.581,0.781,0.581,0.653,,0.51,,0,,0.002,0.001,0.002,0.001,0.28,0.208,0.076,0.056,-0.021,-0.016,0.097,0.072
Fahd Moufi,Portimonense,Primeira Liga,2022,26,Defender,FB,4,359,0,,0.074,0.019,0.074,0.019,,,,,1,0.251,0.373,0.094,0.363,0.091,0.278,0.07,0.188,0.047,0.116,0.029,0.072,0.018
Ali Alipourghara,Gil Vicente,Primeira Liga,2022,26,Forward,FW,4,97,1,0.928,0.868,0.805,0.868,0.805,0.894,,0.095,,0,,0.091,0.085,0.091,0.085,0.278,0.258,-0.138,-0.128,-0.035,-0.033,-0.102,-0.095
Masaki Watai,Boavista,Primeira Liga,2022,23,Midfielder,CM,2,14,0,,,,,,,,,,0,,0.283,1.822,0.283,1.822,0.275,1.768,0.009,0.058,-0.008,-0.053,0.017,0.111
João Mário,FC Porto,Primeira Liga,2022,22,Defender,WAM,5,300,0,,0.088,0.026,0.088,0.026,,,,,2,0.6,0.405,0.121,0.402,0.12,0.268,0.08,0.262,0.079,0.194,0.058,0.068,0.02
Tiago Santos,Estoril Praia,Primeira Liga,2022,20,Defender,CB,3,266,0,,,,,,,,,,1,0.338,0.618,0.209,0.612,0.207,0.264,0.089,0.36,0.122,0.306,0.104,0.054,0.018
Mikel Villanueva,Vitória Guimarães,Primeira Liga,2022,29,Defender,CB,4,360,0,,0.063,0.016,0.063,0.016,,,,,0,,0.379,0.095,0.379,0.095,0.261,0.065,0.521,0.13,0.478,0.119,0.044,0.011
Bruno Langa,Chaves,Primeira Liga,2022,24,Defender,FB,4,360,0,,0.044,0.011,0.044,0.011,,,,,0,,0.245,0.061,0.238,0.06,0.259,0.065,0.391,0.098,0.291,0.073,0.1,0.025
João Mendes,Chaves,Primeira Liga,2022,27,Midfielder,CAM,4,266,0,,0.379,0.128,0.379,0.128,,,0.107,,0,,0.154,0.052,0.154,0.052,0.255,0.086,0.077,0.026,0.13,0.044,-0.053,-0.018
Gonçalo Inácio,Sporting CP,Primeira Liga,2022,21,Defender,CB,4,360,0,,0.431,0.108,0.431,0.108,0.203,,-0.085,,0,,0.128,0.032,0.125,0.031,0.252,0.063,0.51,0.127,0.396,0.099,0.114,0.028
Diogo Pinto,Casa Pia,Primeira Liga,2022,23,Midfielder,CAM,3,52,0,,0.096,0.167,0.096,0.167,0.162,,0.065,,0,,0.177,0.306,0.177,0.306,0.247,0.428,0.091,0.157,0.042,0.073,0.048,0.084
Afonso Freitas,Vitória Guimarães,Primeira Liga,2022,22,Defender,FB,2,122,0,,,,,,,,,,0,,0.26,0.192,0.258,0.19,0.247,0.182,0.175,0.129,0.13,0.096,0.045,0.033
Sebastián Coates,Sporting CP,Primeira Liga,2022,31,Defender,CB,5,450,0,,0.184,0.037,0.184,0.037,,,,,0,,0.31,0.062,0.309,0.062,0.246,0.049,0.234,0.047,0.207,0.041,0.027,0.005
Matheus Reis,Sporting CP,Primeira Liga,2022,27,Defender,FB,5,394,0,,0.131,0.03,0.131,0.03,,,,,0,,0.328,0.075,0.323,0.074,0.239,0.055,0.229,0.052,0.137,0.031,0.092,0.021
Benny,Chaves,Primeira Liga,2022,22,Midfielder,CM,4,245,0,,0.013,0.005,0.013,0.005,,,,,0,,0.274,0.101,0.264,0.097,0.237,0.087,0.164,0.06,0.108,0.04,0.056,0.02
Rúben Fernandes,Gil Vicente,Primeira Liga,2022,36,Defender,CB,5,450,0,,0.391,0.078,0.391,0.078,,,,,0,,0.06,0.012,0.059,0.012,0.229,0.046,0.357,0.071,0.311,0.062,0.046,0.009
Jesús Ramírez,Marítimo,Primeira Liga,2022,24,Forward,FW,4,68,0,,0.233,0.309,0.233,0.309,0.204,,0.032,,0,,0.194,0.257,0.194,0.257,0.229,0.303,-0.186,-0.247,-0.188,-0.249,0.002,0.002
Vasco Fernandes,Casa Pia,Primeira Liga,2022,35,Defender,FB,5,450,0,,0.199,0.04,0.199,0.04,0.64,,0.441,,0,,0.056,0.011,0.051,0.01,0.228,0.046,0.199,0.04,0.155,0.031,0.044,0.009
Kevin Villodres,Gil Vicente,Primeira Liga,2022,21,Forward,FW,5,247,0,,0.244,0.089,0.244,0.089,0.035,,-0.017,,0,,0.13,0.047,0.13,0.047,0.222,0.081,0.032,0.012,0.004,0.002,0.028,0.01
Joca,Rio Ave,Primeira Liga,2022,26,Midfielder,CAM,4,298,0,,0.09,0.027,0.09,0.027,,,,,1,0.302,0.274,0.083,0.274,0.083,0.221,0.067,0.099,0.03,0.048,0.015,0.05,0.015
Pepe,FC Porto,Primeira Liga,2022,39,Defender,CB,5,450,0,,0.258,0.052,0.258,0.052,0.038,,0.002,,0,,0.093,0.019,0.092,0.018,0.22,0.044,0.382,0.076,0.376,0.075,0.006,0.001
Fabijan Buntic,Vizela,Primeira Liga,2022,25,Goalkeeper,GK,5,450,0,,,,,,,4.303,,-0.394,0,,0.221,0.044,0.22,0.044,0.218,0.044,0.078,0.016,0.077,0.015,0.001,0
Ivo Rodrigues,FC Famalicão,Primeira Liga,2022,27,Forward,WAM,2,134,0,,0.127,0.085,0.127,0.085,0.115,,-0.018,,1,0.672,0.286,0.192,0.148,0.1,0.216,0.145,0.252,0.169,0.209,0.14,0.043,0.029
Tomás Silva,Vizela,Primeira Liga,2022,22,Midfielder,CAM,5,436,0,,0.053,0.011,0.053,0.011,0.038,,-0.015,,0,,0.242,0.05,0.238,0.049,0.207,0.043,0.461,0.095,0.421,0.087,0.04,0.008
Arsénio,Arouca,Primeira Liga,2022,33,Midfielder,WAM,5,327,0,,0.234,0.065,0.234,0.065,0.112,,-0.093,,0,,0.057,0.016,0.057,0.016,0.207,0.057,0.063,0.017,0.003,0.001,0.06,0.017
Gabriel Veron,FC Porto,Primeira Liga,2022,20,Forward,FW,5,117,0,,0.574,0.442,0.574,0.442,0.694,,0.311,,0,,0.246,0.189,0.246,0.189,0.206,0.158,0.179,0.138,0.098,0.075,0.081,0.063
Leonardo Lelo,Casa Pia,Primeira Liga,2022,22,Defender,FB,5,450,0,,0.899,0.18,0.117,0.023,0.923,,0.141,,0,,0.186,0.037,0.181,0.036,0.205,0.041,0.156,0.031,0.082,0.016,0.073,0.015
Pedrão,Portimonense,Primeira Liga,2022,25,Defender,CB,2,180,0,,0.043,0.022,0.043,0.022,,,,,0,,0.192,0.096,0.192,0.096,0.204,0.102,0.123,0.061,0.123,0.062,-0.001,0
Matchoi Djaló,Paços de Ferreira,Primeira Liga,2022,19,Forward,WAM,3,157,0,,0.291,0.167,0.291,0.167,0.458,,0.342,,0,,0.051,0.029,0.05,0.029,0.201,0.115,0.037,0.021,0.033,0.019,0.004,0.002
Pedro Tiba,Gil Vicente,Primeira Liga,2022,34,Midfielder,CM,5,182,0,,0.206,0.102,0.206,0.102,0.633,,0.514,,0,,0.308,0.152,0.298,0.147,0.199,0.098,0.13,0.064,0.137,0.068,-0.006,-0.003
Klismahn,Portimonense,Primeira Liga,2022,22,Midfielder,CM,1,17,0,,0.47,2.486,0.47,2.486,,,,,0,,0,0.001,0,0.001,0.198,1.047,0.009,0.045,0.006,0.031,0.003,0.015
Antony,Arouca,Primeira Liga,2022,20,Forward,FW,4,175,0,,0.229,0.118,0.229,0.118,0.7,,0.568,,0,,0.072,0.037,0.072,0.037,0.197,0.101,0.142,0.073,0.009,0.005,0.133,0.069
Chiquinho,Benfica,Primeira Liga,2022,27,Midfielder,CM,1,56,0,,0.178,0.286,0.178,0.286,,,,,0,,0.131,0.211,0.066,0.106,0.192,0.308,0.135,0.218,0.08,0.128,0.055,0.089
