Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Lionel Messi,Paris Saint-Germain,Ligue 1,2022,35,Forward,FW,6,530,3,0.509,4.292,0.729,4.292,0.729,7.247,,4.498,,6,1.019,4.203,0.714,3.827,0.65,4.163,0.707,2.573,0.437,1.737,0.295,0.837,0.142
Neymar,Paris Saint-Germain,Ligue 1,2022,30,Forward,WAM,6,454,7,1.388,4.854,0.962,3.29,0.652,4.918,,1.619,,6,1.189,2.77,0.549,2.147,0.426,3.295,0.653,1.064,0.211,0.875,0.173,0.189,0.037
Karl Toko-Ekambi,Lyon,Ligue 1,2022,29,Forward,FW,5,420,3,0.643,2.348,0.503,2.348,0.503,2.464,,0.717,,1,0.214,2.051,0.44,2.05,0.439,3.131,0.671,0.923,0.198,0.243,0.052,0.68,0.146
Florian Sotoca,Lens,Ligue 1,2022,31,Forward,FW,6,520,5,0.865,3.752,0.649,2.97,0.514,3.022,,0.202,,2,0.346,1.594,0.276,1.593,0.276,2.74,0.474,0.561,0.097,0.444,0.077,0.117,0.02
Kylian Mbappé,Paris Saint-Germain,Ligue 1,2022,23,Forward,WAM,5,419,7,1.504,5.559,1.194,4.778,1.026,5.724,,2.248,,0,,1.143,0.246,1.143,0.246,2.563,0.55,0.984,0.211,0.289,0.062,0.695,0.149
Armand Laurienté,Lorient,Ligue 1,2022,,,,3,267,1,0.337,2.186,0.737,2.186,0.737,0.641,,0.317,,0,,1.056,0.356,1.056,0.356,2.467,0.832,0.637,0.215,0.41,0.138,0.228,0.077
Achraf Hakimi,Paris Saint-Germain,Ligue 1,2022,23,Defender,FB,6,444,2,0.405,0.765,0.155,0.765,0.155,1.68,,1.005,,1,0.203,2.025,0.41,2.023,0.41,2.235,0.453,0.565,0.114,0.528,0.107,0.037,0.008
Jonathan Bamba,Lille,Ligue 1,2022,26,Forward,WAM,6,539,3,0.501,2.436,0.407,2.436,0.407,2.769,,0.692,,2,0.334,1.063,0.178,1.059,0.177,2.11,0.352,0.799,0.133,0.497,0.083,0.303,0.051
Loïs Openda,Lens,Ligue 1,2022,22,Forward,FW,6,440,4,0.818,3.675,0.752,3.675,0.752,3.646,,0.802,,0,,1.095,0.224,1.095,0.224,1.995,0.408,0.854,0.175,0.324,0.066,0.53,0.108
Moses Simon,Nantes,Ligue 1,2022,27,Forward,WAM,4,350,2,0.514,2.012,0.517,2.012,0.517,2.03,,0.621,,1,0.257,0.897,0.231,0.759,0.195,1.832,0.471,0.383,0.099,0.174,0.045,0.209,0.054
Thijs Dallinga,Toulouse,Ligue 1,2022,22,Forward,FW,6,438,2,0.411,2.747,0.565,2.747,0.565,2.645,,1.158,,0,,0.172,0.035,0.172,0.035,1.792,0.368,0.097,0.02,-0.019,-0.004,0.116,0.024
David da Costa,Lens,Ligue 1,2022,21,Midfielder,WAM,6,445,0,,1.066,0.215,1.066,0.215,0.475,,-0.014,,3,0.607,1.569,0.317,1.569,0.317,1.739,0.352,1.063,0.215,0.642,0.13,0.421,0.085
Dango Ouattara,Lorient,Ligue 1,2022,20,Forward,FW,5,415,1,0.217,0.937,0.203,0.937,0.203,0.921,,0.585,,2,0.434,1.621,0.352,1.621,0.352,1.645,0.357,1.038,0.225,0.771,0.167,0.267,0.058
Junya Ito,Reims,Ligue 1,2022,29,Forward,FW,5,328,2,0.549,1.48,0.406,1.48,0.406,2.004,,0.682,,0,,0.827,0.227,0.814,0.223,1.588,0.436,0.429,0.118,0.216,0.059,0.213,0.059
Nuno Mendes,Paris Saint-Germain,Ligue 1,2022,20,Defender,FB,6,449,1,0.2,1.173,0.235,1.173,0.235,0.837,,-0.001,,2,0.401,1.172,0.235,1.17,0.235,1.502,0.301,0.701,0.141,0.66,0.132,0.042,0.008
Martin Terrier,Rennes,Ligue 1,2022,25,Forward,CAM,6,536,2,0.336,2.092,0.351,2.092,0.351,3.099,,1.893,,1,0.168,0.817,0.137,0.816,0.137,1.391,0.234,0.43,0.072,0.175,0.029,0.255,0.043
Rémy Cabella,Lille,Ligue 1,2022,32,Midfielder,CAM,3,239,0,,0.419,0.158,0.419,0.158,0.943,,0.524,,4,1.506,1.594,0.6,1.408,0.53,1.356,0.511,0.928,0.35,0.786,0.296,0.142,0.054
Nuno Tavares,Marseille,Ligue 1,2022,22,Defender,FB,6,475,3,0.568,0.76,0.144,0.76,0.144,1.464,,0.958,,0,,1.14,0.216,0.917,0.174,1.344,0.255,0.809,0.153,0.603,0.114,0.206,0.039
Tetê,Lyon,Ligue 1,2022,22,Forward,WAM,5,374,4,0.963,2.075,0.499,2.075,0.499,2.659,,1.148,,1,0.241,0.766,0.184,0.726,0.175,1.319,0.317,0.456,0.11,0.261,0.063,0.195,0.047
Rafael Ratão,Toulouse,Ligue 1,2022,26,Forward,FW,6,401,2,0.449,1.781,0.4,1.781,0.4,2.022,,0.35,,0,,0.243,0.054,0.242,0.054,1.293,0.29,0.171,0.038,-0.013,-0.003,0.184,0.041
