Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Paulo Dybala,Roma,Serie A,2022,28,Forward,WAM,5,394,2,0.457,2.133,0.487,2.133,0.487,2.81,,1.369,,1,0.228,0.951,0.217,0.87,0.199,2.423,0.553,0.45,0.103,0.27,0.062,0.18,0.041
Victor Osimhen,Napoli,Serie A,2022,23,Forward,FW,5,425,2,0.424,4.627,0.98,4.627,0.98,0.999,,0.302,,1,0.212,0.363,0.077,0.363,0.077,2.335,0.495,0.018,0.004,-0.122,-0.026,0.14,0.03
Rafael Leão,Milan,Serie A,2022,23,Forward,WAM,5,420,3,0.643,2.269,0.486,2.269,0.486,2.744,,1.465,,2,0.429,0.648,0.139,0.647,0.139,2.253,0.483,0.816,0.175,0.259,0.055,0.557,0.119
Tammy Abraham,Roma,Serie A,2022,24,Forward,FW,5,405,1,0.222,2.752,0.612,2.752,0.612,2.309,,1.036,,1,0.222,0.499,0.111,0.499,0.111,2.166,0.481,0.217,0.048,0.057,0.013,0.16,0.036
Gerard Deulofeu,Udinese,Serie A,2022,28,Forward,WAM,5,419,0,,1.948,0.418,1.948,0.418,0.596,,0.077,,2,0.43,0.983,0.211,0.685,0.147,1.907,0.41,0.823,0.177,0.514,0.11,0.309,0.066
Khvicha Kvaratskhelia,Napoli,Serie A,2022,21,Forward,FW,5,301,4,1.196,1.872,0.56,1.872,0.56,1.828,,0.658,,1,0.299,1.034,0.309,1.034,0.309,1.823,0.545,0.836,0.25,0.647,0.194,0.188,0.056
Hirving Lozano,Napoli,Serie A,2022,27,Forward,WAM,5,289,0,,1.281,0.399,1.281,0.399,0.073,,0.055,,1,0.311,0.881,0.274,0.881,0.274,1.649,0.513,0.27,0.084,0.269,0.084,0.001,0
Denzel Dumfries,Internazionale,Serie A,2022,26,Defender,FB,5,351,1,0.256,1.286,0.33,1.286,0.33,1.422,,0.32,,1,0.256,0.868,0.223,0.858,0.22,1.631,0.418,0.719,0.184,0.612,0.157,0.107,0.027
Lautaro Martínez,Internazionale,Serie A,2022,25,Forward,FW,5,380,3,0.711,2.694,0.638,2.694,0.638,2.544,,1.144,,1,0.237,0.414,0.098,0.414,0.098,1.542,0.365,0.398,0.094,0.124,0.029,0.273,0.065
Darko Lazovic,Verona,Serie A,2022,31,Midfielder,WAM,5,450,0,,0.403,0.081,0.403,0.081,0.381,,0.23,,1,0.2,1.301,0.26,1.3,0.26,1.539,0.308,1.128,0.226,0.78,0.156,0.347,0.069
Edin Dzeko,Internazionale,Serie A,2022,36,Forward,FW,5,182,1,0.495,1.623,0.802,1.623,0.802,2.027,,0.771,,1,0.495,0.802,0.396,0.801,0.396,1.539,0.761,0.473,0.234,0.141,0.07,0.332,0.164
Brahim Díaz,Milan,Serie A,2022,23,Midfielder,WAM,4,213,1,0.423,0.948,0.4,0.948,0.4,0.96,,0.038,,1,0.423,0.577,0.244,0.577,0.244,1.446,0.611,0.293,0.124,0.238,0.101,0.055,0.023
Nemanja Radonjic,Torino,Serie A,2022,26,Midfielder,WAM,4,272,1,0.331,1.849,0.612,1.849,0.612,1.994,,0.679,,0,,0.347,0.115,0.189,0.062,1.27,0.42,0.472,0.156,0.068,0.022,0.404,0.134
Joaquín Correa,Internazionale,Serie A,2022,28,Forward,WAM,5,149,2,1.208,1.472,0.889,1.472,0.889,1.687,,0.327,,1,0.604,0.439,0.265,0.439,0.265,1.239,0.749,0.098,0.059,-0.012,-0.007,0.109,0.066
Sergej Milinkovic-Savic,Lazio,Serie A,2022,27,Midfielder,CM,5,435,0,,0.606,0.125,0.606,0.125,,,,,3,0.621,1.082,0.224,1.071,0.222,1.228,0.254,0.66,0.137,0.524,0.108,0.136,0.028
Nicolò Zaniolo,Roma,Serie A,2022,23,Midfielder,CAM,2,124,0,,1.111,0.806,1.111,0.806,0.194,,-0.143,,0,,0.244,0.177,0.243,0.176,1.207,0.876,0.096,0.069,0.031,0.022,0.065,0.047
Dusan Vlahovic,Juventus,Serie A,2022,22,Forward,FW,4,351,4,1.026,2.567,0.658,1.785,0.458,2.883,,0.859,,0,,0.088,0.023,0.088,0.023,1.187,0.304,0.319,0.082,0.006,0.001,0.314,0.08
Nicolò Barella,Internazionale,Serie A,2022,25,Midfielder,CM,5,410,1,0.22,0.236,0.052,0.236,0.052,0.565,,0.412,,1,0.22,1.18,0.259,1.156,0.254,1.179,0.259,0.868,0.191,0.774,0.17,0.094,0.021
Matteo Politano,Napoli,Serie A,2022,29,Forward,WAM,5,161,1,0.559,0.716,0.4,0.716,0.4,0.854,,0.559,,1,0.559,0.981,0.548,0.683,0.382,1.149,0.642,0.574,0.321,0.332,0.185,0.242,0.135
Marko Arnautovic,Bologna,Serie A,2022,33,Forward,FW,5,450,5,1,3.621,0.724,2.057,0.411,3.472,,0.609,,0,,0.411,0.082,0.41,0.082,1.14,0.228,-0.019,-0.004,-0.054,-0.011,0.035,0.007
