Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Quilindschy Hartman,Feyenoord,Eredivise,2022,20,Defender,CB,3,104,0,,0.072,0.062,0.072,0.062,,,,,0,,0.055,0.048,0.052,0.045,0.03,0.026,0.143,0.124,0.113,0.098,0.03,0.026
Francesco Antonucci,FC Volendam,Eredivise,2022,23,Midfielder,CAM,2,115,0,,0.075,0.059,0.075,0.059,0.582,,0.531,,0,,0.005,0.004,0.005,0.004,0.029,0.023,0.005,0.004,-0.012,-0.01,0.018,0.014
Remko Pasveer,Ajax,Eredivise,2022,38,Goalkeeper,GK,6,540,0,,,,,,,4.311,,0.304,0,,0.038,0.006,0.037,0.006,0.028,0.005,0.264,0.044,0.257,0.043,0.006,0.001
Floris Smand,SC Cambuur,Eredivise,2022,19,Defender,CB,4,283,0,,,,,,,,,,0,,0.038,0.012,0.037,0.012,0.027,0.009,0.128,0.041,0.047,0.015,0.081,0.026
Stijn van Gassel,Excelsior Rotterdam,Eredivise,2022,25,Goalkeeper,GK,6,540,0,,,,,,,17.709,,0.04,0,,0.036,0.006,0.036,0.006,0.027,0.004,0.15,0.025,0.148,0.025,0.002,0
Maxim Dekker,AZ,Eredivise,2022,18,Defender,CB,3,270,0,,0.044,0.015,0.044,0.015,,,,,0,,0.028,0.009,0.028,0.009,0.025,0.008,0.225,0.075,0.125,0.042,0.1,0.033
Achraf Douiri,FC Volendam,Eredivise,2022,22,Forward,FW,3,111,0,,,,,,,,,,0,,0.029,0.024,0.029,0.023,0.024,0.02,0.068,0.055,0.034,0.027,0.034,0.028
Eric Oelschlägel,FC Emmen,Eredivise,2022,26,Goalkeeper,GK,6,540,0,,,,,,,12.187,,-0.231,0,,0.035,0.006,0.035,0.006,0.024,0.004,0.173,0.029,0.167,0.028,0.006,0.001
Thomas Buitink,Vitesse,Eredivise,2022,22,Forward,FW,4,102,0,,,,,,,,,,0,,0.074,0.065,0.074,0.065,0.024,0.021,0.095,0.084,0.097,0.086,-0.002,-0.002
Kjell Scherpen,Vitesse,Eredivise,2022,22,Goalkeeper,GK,3,270,0,,,,,,,6.119,,-0.144,0,,0.027,0.009,0.027,0.009,0.023,0.008,0.113,0.038,0.117,0.039,-0.003,-0.001
Vasilios Barkas,FC Utrecht,Eredivise,2022,28,Goalkeeper,GK,6,540,0,,,,,,,8.724,,-0.146,0,,0.03,0.005,0.029,0.005,0.023,0.004,0.161,0.027,0.157,0.026,0.004,0.001
Jasper Cillessen,N.E.C.,Eredivise,2022,33,Goalkeeper,GK,5,450,0,,,,,,,3.999,,0,0,,0.039,0.008,0.026,0.005,0.021,0.004,0.151,0.03,0.143,0.029,0.008,0.002
Simon van Duivenbooden,Vitesse,Eredivise,2022,20,Forward,FW,1,8,0,,,,,,,,,,0,,0.047,0.528,0.047,0.528,0.019,0.211,0.026,0.29,0.077,0.861,-0.051,-0.571
José Fontán,Go Ahead Eagles,Eredivise,2022,22,Defender,FB,3,270,0,,0.077,0.026,0.077,0.026,,,,,0,,0.045,0.015,0.045,0.015,0.019,0.006,0.108,0.036,0.09,0.03,0.018,0.006
Sylla Sow,Go Ahead Eagles,Eredivise,2022,26,Forward,FW,2,120,0,,0.039,0.029,0.039,0.029,,,,,0,,0.022,0.017,0.022,0.017,0.019,0.014,-0.002,-0.002,0.003,0.002,-0.005,-0.004
Daleho Irandust,FC Groningen,Eredivise,2022,24,Midfielder,CM,3,46,0,,,,,,,,,,0,,0.028,0.055,0.028,0.055,0.018,0.036,0.036,0.07,0.021,0.041,0.015,0.029
Adrian Fein,Excelsior Rotterdam,Eredivise,2022,23,Midfielder,DMC,4,193,0,,,,,,,,,,0,,0.038,0.018,0.038,0.018,0.018,0.008,0.05,0.023,0.029,0.014,0.021,0.01
Daniël van Kaam,SC Cambuur,Eredivise,2022,22,Midfielder,CAM,2,152,0,,,,,,,,,,0,,0.031,0.018,0.031,0.018,0.017,0.01,0.056,0.033,0.052,0.031,0.004,0.002
Romaric Yapi,Vitesse,Eredivise,2022,22,Defender,FB,3,19,0,,,,,,,,,,0,,0.024,0.115,0.024,0.115,0.016,0.077,0.02,0.093,0.018,0.086,0.002,0.007
Jeroen Veldmate,FC Emmen,Eredivise,2022,33,Defender,CB,5,390,0,,0.081,0.019,0.081,0.019,,,,,0,,0.047,0.011,0.042,0.01,0.016,0.004,0.159,0.037,0.121,0.028,0.038,0.009
Richard Ledezma,PSV,Eredivise,2022,22,Midfielder,CM,2,83,0,,,,,,,,,,0,,0.056,0.06,0.043,0.047,0.015,0.017,0.036,0.039,0.025,0.028,0.011,0.011
Fredrik Bjørkan,Feyenoord,Eredivise,2022,24,Defender,FB,1,69,0,,0.028,0.036,0.028,0.036,,,,,0,,0.04,0.053,0.04,0.052,0.015,0.019,0.088,0.115,0.048,0.062,0.04,0.053
Ragnar Oratmangoen,FC Groningen,Eredivise,2022,24,Forward,CAM,3,125,0,,0.131,0.094,0.131,0.094,,,,,0,,0.129,0.093,0.129,0.093,0.014,0.01,-0.059,-0.043,0.002,0.002,-0.062,-0.044
Maikel Kieftenbeld,FC Emmen,Eredivise,2022,32,Midfielder,CM,1,90,0,,,,,,,,,,0,,0.017,0.017,0.017,0.017,0.013,0.013,0.013,0.013,0.006,0.006,0.007,0.007
Perr Schuurs,Ajax,Eredivise,2022,,,,2,51,0,,,,,,,,,,0,,0.021,0.038,0.021,0.037,0.013,0.022,0.128,0.225,0.068,0.119,0.06,0.106
Mike van der Hoorn,FC Utrecht,Eredivise,2022,29,Defender,CB,1,62,0,,,,,,,,,,0,,0.02,0.028,0.019,0.028,0.013,0.018,0.077,0.112,0.058,0.084,0.019,0.028
Antoine Colassin,sc Heerenveen,Eredivise,2022,21,Forward,CM,1,23,0,,0.013,0.049,0.013,0.049,,,,,0,,0,0.002,0,0.002,0.013,0.049,-0.006,-0.025,-0.01,-0.037,0.003,0.012
Andries Noppert,sc Heerenveen,Eredivise,2022,28,Goalkeeper,GK,6,540,0,,,,,,,7.76,,0.227,0,,0.021,0.004,0.02,0.003,0.012,0.002,0.178,0.03,0.177,0.029,0.001,0
Ivo Pinto,Fortuna Sittard,Eredivise,2022,32,Defender,FB,4,133,0,,,,,,,,,,0,,0.017,0.012,0.016,0.011,0.011,0.008,0.092,0.062,0.073,0.05,0.019,0.013
Yahya Kalley,FC Groningen,Eredivise,2022,21,Defender,CB,2,78,0,,,,,,,,,,0,,0.017,0.019,0.016,0.018,0.011,0.013,0.039,0.045,0.033,0.038,0.007,0.008
Julius Dirksen,FC Emmen,Eredivise,2022,19,Defender,CB,2,135,0,,,,,,,,,,0,,0.024,0.016,0.024,0.016,0.011,0.007,0.066,0.044,0.077,0.052,-0.011,-0.007
Armando Obispo,PSV,Eredivise,2022,23,Defender,CB,6,427,1,0.211,0.477,0.101,0.477,0.101,0.636,,0.509,,1,0.211,0.123,0.026,0.123,0.026,0.011,0.002,0.598,0.126,0.528,0.111,0.071,0.015
Ezequiel Bullaude,Feyenoord,Eredivise,2022,21,Forward,FW,1,5,0,,,,,,,,,,0,,0.018,0.331,0.018,0.331,0.01,0.172,0.026,0.464,0.021,0.382,0.005,0.082
Oguzhan Özyakup,Fortuna Sittard,Eredivise,2022,29,Midfielder,CM,1,28,1,3.214,0.015,0.047,0.015,0.047,0.182,,0.167,,0,,0,0.001,0,0.001,0.009,0.031,0.008,0.024,0.005,0.016,0.003,0.009
Hobie Verhulst,AZ,Eredivise,2022,29,Goalkeeper,GK,6,540,0,,,,,,,2.441,,-0.639,0,,0.018,0.003,0.017,0.003,0.009,0.001,0.136,0.023,0.135,0.023,0,0
Walter Benítez,PSV,Eredivise,2022,29,Goalkeeper,GK,6,540,0,,,,,,,7.744,,0.096,0,,0.014,0.002,0.014,0.002,0.008,0.001,0.103,0.017,0.102,0.017,0.001,0
Daan Reiziger,Vitesse,Eredivise,2022,21,Goalkeeper,GK,1,90,0,,,,,,,,,,0,,0.008,0.008,0.008,0.008,0.007,0.007,0.025,0.025,0.023,0.023,0.001,0.001
