Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Kevin Volland,Monaco,Ligue 1,2022,30,Forward,FW,1,25,1,3.6,0.122,0.439,0.122,0.439,0.364,,0.242,,0,,0.006,0.021,0.006,0.021,0.123,0.444,0.073,0.263,0.005,0.018,0.068,0.245
Jubal,Auxerre,Ligue 1,2022,29,Defender,CB,7,630,0,,0.312,0.045,0.312,0.045,,,,,1,0.143,0.039,0.006,0.035,0.005,0.123,0.018,0.193,0.028,0.169,0.024,0.024,0.003
Pedro Chirivella,Nantes,Ligue 1,2022,25,Midfielder,DMC,6,508,0,,0.169,0.03,0.169,0.03,,,,,0,,0.197,0.035,0.196,0.035,0.12,0.021,0.316,0.056,0.208,0.037,0.108,0.019
Rhys Healey,Toulouse,Ligue 1,2022,27,Forward,FW,3,58,1,1.552,0.238,0.37,0.238,0.37,0.271,,0.108,,0,,0.096,0.149,0.096,0.149,0.12,0.186,0.015,0.024,-0.066,-0.102,0.081,0.125
Adil Rami,Troyes,Ligue 1,2022,36,Defender,CB,5,357,0,,0.091,0.023,0.091,0.023,0.16,,0.098,,0,,0.069,0.017,0.065,0.016,0.118,0.03,0.214,0.054,0.15,0.038,0.064,0.016
Gideon Mensah,Auxerre,Ligue 1,2022,24,Defender,FB,3,270,0,,0.046,0.015,0.046,0.015,0.01,,-0.002,,0,,0.097,0.032,0.095,0.032,0.117,0.039,0.275,0.092,0.247,0.082,0.028,0.009
Wilson Odobert,Troyes,Ligue 1,2022,17,Forward,WAM,7,252,2,0.714,0.59,0.211,0.59,0.211,0.711,,0.344,,0,,0.089,0.032,0.089,0.032,0.115,0.041,0.199,0.071,-0.025,-0.009,0.224,0.08
Rares Ilie,Nice,Ligue 1,2022,19,Midfielder,WAM,4,148,0,,0.166,0.101,0.166,0.101,,,,,0,,0.029,0.018,0.029,0.018,0.104,0.063,0.017,0.01,0.002,0.001,0.015,0.009
Nicolas Pallois,Nantes,Ligue 1,2022,34,Defender,CB,7,630,0,,0.021,0.003,0.021,0.003,,,,,0,,0.12,0.017,0.119,0.017,0.098,0.014,0.383,0.055,0.335,0.048,0.048,0.007
Massadio Haïdara,Lens,Ligue 1,2022,29,Defender,FB,7,178,0,,0.148,0.075,0.148,0.075,,,,,0,,0.036,0.018,0.034,0.017,0.096,0.049,0.151,0.076,0.077,0.039,0.074,0.038
Jonathan Gradit,Lens,Ligue 1,2022,29,Defender,FB,7,541,0,,,,,,,,,,1,0.166,0.131,0.022,0.129,0.021,0.093,0.015,0.806,0.134,0.608,0.101,0.198,0.033
Ronaël Pierre-Gabriel,Strasbourg,Ligue 1,2022,24,Defender,FB,6,298,0,,,,,,,,,,0,,0.161,0.049,0.156,0.047,0.093,0.028,0.137,0.041,0.115,0.035,0.022,0.007
Ismail Jakobs,Monaco,Ligue 1,2022,23,Defender,FB,6,234,0,,0.055,0.021,0.055,0.021,0.101,,0.077,,0,,0.216,0.083,0.089,0.034,0.092,0.035,0.157,0.06,0.056,0.022,0.101,0.039
Paul Bernardoni,Angers,Ligue 1,2022,25,Goalkeeper,GK,6,540,0,,,,,,,11.399,,-0.404,0,,0.125,0.021,0.096,0.016,0.092,0.015,0.165,0.028,0.164,0.027,0.001,0
Sébastien Corchia,Nantes,Ligue 1,2022,31,Defender,FB,5,157,0,,0.02,0.011,0.02,0.011,,,,,0,,0.083,0.047,0.079,0.045,0.088,0.051,0.134,0.077,0.117,0.067,0.016,0.009
